v8-version,6,1,534,50,0
shared-library,"/usr/local/opt/node@8/bin/node",0x100002800,0x100843776,0
shared-library,"/usr/local/opt/icu4c/lib/libicui18n.60.dylib",0x101a8ff20,0x101bb9d39,4322811904
shared-library,"/usr/local/opt/icu4c/lib/libicuuc.60.dylib",0x101ceeb20,0x101d9f210,4325298176
shared-library,"/usr/local/opt/icu4c/lib/libicudata.60.2.dylib",0x101e649f0,0x101e649f0,4326830080
shared-library,"/System/Library/Frameworks/CoreFoundation.framework/Versions/A/CoreFoundation",0x7fff4d84a860,0x7fff4da3d9ac,634572800
shared-library,"/usr/lib/libSystem.B.dylib",0x7fff733f394a,0x7fff733f3b2e,634572800
shared-library,"/usr/lib/libc++.1.dylib",0x7fff73627f40,0x7fff7366f2b0,634572800
shared-library,"/usr/lib/system/libcache.dylib",0x7fff7556eb08,0x7fff7557156d,634572800
shared-library,"/usr/lib/system/libcommonCrypto.dylib",0x7fff75573c14,0x7fff7557cde1,634572800
shared-library,"/usr/lib/system/libcompiler_rt.dylib",0x7fff7557eef4,0x7fff75583a8b,634572800
shared-library,"/usr/lib/system/libcopyfile.dylib",0x7fff7558709c,0x7fff7558e2dc,634572800
shared-library,"/usr/lib/system/libcorecrypto.dylib",0x7fff75590e80,0x7fff755f5ab9,634572800
shared-library,"/usr/lib/system/libdispatch.dylib",0x7fff7569ea08,0x7fff756c99fe,634572800
shared-library,"/usr/lib/system/libdyld.dylib",0x7fff756d8014,0x7fff756f0410,634572800
shared-library,"/usr/lib/system/libkeymgr.dylib",0x7fff756f5a51,0x7fff756f5e80,634572800
shared-library,"/usr/lib/system/liblaunch.dylib",0x7fff75703fc0,0x7fff75703fc0,634572800
shared-library,"/usr/lib/system/libmacho.dylib",0x7fff757046e8,0x7fff757089dc,634572800
shared-library,"/usr/lib/system/libquarantine.dylib",0x7fff7570a26e,0x7fff7570bb42,634572800
shared-library,"/usr/lib/system/libremovefile.dylib",0x7fff7570c944,0x7fff7570dc73,634572800
shared-library,"/usr/lib/system/libsystem_asl.dylib",0x7fff7570f748,0x7fff75724150,634572800
shared-library,"/usr/lib/system/libsystem_blocks.dylib",0x7fff7572685d,0x7fff75726d0e,634572800
shared-library,"/usr/lib/system/libsystem_c.dylib",0x7fff75728100,0x7fff757a918f,634572800
shared-library,"/usr/lib/system/libsystem_configuration.dylib",0x7fff757b1e04,0x7fff757b46c0,634572800
shared-library,"/usr/lib/system/libsystem_coreservices.dylib",0x7fff757b62d0,0x7fff757b83eb,634572800
shared-library,"/usr/lib/system/libsystem_darwin.dylib",0x7fff757b9fda,0x7fff757bac44,634572800
shared-library,"/usr/lib/system/libsystem_dnssd.dylib",0x7fff757bbf3c,0x7fff757c04cd,634572800
shared-library,"/usr/lib/system/libsystem_info.dylib",0x7fff757c31f0,0x7fff7580841e,634572800
shared-library,"/usr/lib/system/libsystem_m.dylib",0x7fff75834140,0x7fff75864143,634572800
shared-library,"/usr/lib/system/libsystem_malloc.dylib",0x7fff75880250,0x7fff7589931f,634572800
shared-library,"/usr/lib/system/libsystem_network.dylib",0x7fff758a0b70,0x7fff759a2038,634572800
shared-library,"/usr/lib/system/libsystem_networkextension.dylib",0x7fff759d0cff,0x7fff759d882e,634572800
shared-library,"/usr/lib/system/libsystem_notify.dylib",0x7fff759dc148,0x7fff759e483e,634572800
shared-library,"/usr/lib/system/libsystem_sandbox.dylib",0x7fff759fa040,0x7fff759fc52d,634572800
shared-library,"/usr/lib/system/libsystem_secinit.dylib",0x7fff759fda1f,0x7fff759fe588,634572800
shared-library,"/usr/lib/system/libsystem_kernel.dylib",0x7fff7580cf10,0x7fff7582a75d,634572800
shared-library,"/usr/lib/system/libsystem_platform.dylib",0x7fff759e5820,0x7fff759eb38d,634572800
shared-library,"/usr/lib/system/libsystem_pthread.dylib",0x7fff759edf78,0x7fff759f610e,634572800
shared-library,"/usr/lib/system/libsystem_symptoms.dylib",0x7fff759ff938,0x7fff75a0531e,634572800
shared-library,"/usr/lib/system/libsystem_trace.dylib",0x7fff75a08094,0x7fff75a17c8d,634572800
shared-library,"/usr/lib/system/libunwind.dylib",0x7fff75a1c96c,0x7fff75a212a7,634572800
shared-library,"/usr/lib/system/libxpc.dylib",0x7fff75a239c0,0x7fff75a4483e,634572800
shared-library,"/usr/lib/closure/libclosured.dylib",0x7fff72eb8e80,0x7fff72ee3689,634572800
shared-library,"/usr/lib/libobjc.A.dylib",0x7fff74aab000,0x7fff74acc65a,634572800
shared-library,"/usr/lib/libc++abi.dylib",0x7fff7367f600,0x7fff7369dd64,634572800
shared-library,"/usr/lib/libDiagnosticMessagesClient.dylib",0x7fff7307cf08,0x7fff7307d90c,634572800
shared-library,"/usr/lib/libicucore.A.dylib",0x7fff74152fd4,0x7fff7430a2e6,634572800
shared-library,"/usr/lib/libz.1.dylib",0x7fff754c12d0,0x7fff754ccbe5,634572800
tick,0x7fff7581f246,658,0,0x0,4
profiler,"begin",1000
tick,0x1006942c8,1924,0,0x0,4
tick,0x7fff759ea053,3178,0,0x0,4
code-creation,Stub,3,3830,0x1e85e2504000,342,"JSEntryStub"
code-creation,Stub,3,3849,0x1e85e2504160,342,"JSEntryStub"
code-creation,Builtin,5,3859,0x1e85e25042c0,134,"EmptyFunction"
code-creation,Stub,3,3868,0x1e85e2504360,382,"CEntryStub"
code-creation,Builtin,5,3876,0x1e85e25044e0,139,"ConstructedNonConstructable"
code-creation,Stub,3,3885,0x1e85e2504580,382,"CEntryStub"
code-creation,Builtin,5,3891,0x1e85e2504700,923,"CompileLazy"
code-creation,Stub,3,3897,0x1e85e2504aa0,1358,"RecordWriteStub"
code-creation,Stub,3,3903,0x1e85e2505000,168,"StoreBufferOverflowStub"
code-creation,Stub,3,3909,0x1e85e25050c0,1386,"RecordWriteStub"
code-creation,Builtin,5,3915,0x1e85e2505640,366,"JSConstructStubGenericUnrestrictedReturn"
code-creation,Builtin,5,3921,0x1e85e25057c0,1085,"FastNewObject"
code-creation,Builtin,5,3927,0x1e85e2505c00,327,"ArgumentsAdaptorTrampoline"
code-creation,Stub,3,3932,0x1e85e2505d60,2266,"RecordWriteStub"
code-creation,Stub,3,3938,0x1e85e2506640,388,"StoreBufferOverflowStub"
code-creation,Stub,3,3944,0x1e85e25067e0,2317,"RecordWriteStub"
code-creation,Stub,3,3950,0x1e85e2507100,123,"ArrayNArgumentsConstructorStub"
code-creation,Stub,3,3956,0x1e85e2507180,2295,"RecordWriteStub"
code-creation,Stub,3,3962,0x1e85e2507a80,2265,"RecordWriteStub"
code-creation,Stub,3,3968,0x1e85e2508360,2257,"RecordWriteStub"
code-creation,Stub,3,3974,0x1e85e2508c40,2269,"RecordWriteStub"
code-creation,Stub,3,3979,0x1e85e2509520,2284,"RecordWriteStub"
code-creation,Stub,3,3985,0x1e85e2509e20,2254,"RecordWriteStub"
code-creation,Stub,3,3991,0x1e85e250a700,2250,"RecordWriteStub"
code-creation,Stub,3,3997,0x1e85e250afe0,2254,"RecordWriteStub"
code-creation,Stub,3,4003,0x1e85e250b8c0,2253,"RecordWriteStub"
code-creation,Handler,4,4009,0x1e85e250c1a0,732,"An IC handler from the snapshot"
code-creation,Stub,3,4014,0x1e85e250c480,2266,"RecordWriteStub"
code-creation,Stub,3,4020,0x1e85e250cd60,2292,"RecordWriteStub"
code-creation,Stub,3,4026,0x1e85e250d660,699,"TransitionElementsKindStub"
code-creation,Stub,3,4032,0x1e85e250d920,980,"RecordWriteStub"
code-creation,Stub,3,4038,0x1e85e250dd00,2254,"RecordWriteStub"
code-creation,Stub,3,4044,0x1e85e250e5e0,404,"CEntryStub"
code-creation,Stub,3,4050,0x1e85e250e780,980,"RecordWriteStub"
code-creation,Stub,3,4056,0x1e85e250eb60,992,"RecordWriteStub"
code-creation,Stub,3,4061,0x1e85e250ef40,2288,"RecordWriteStub"
code-creation,Stub,3,4067,0x1e85e250f840,311,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,4073,0x1e85e250f980,1373,"RecordWriteStub"
code-creation,Stub,3,4079,0x1e85e250fee0,2253,"RecordWriteStub"
code-creation,Stub,3,4085,0x1e85e25107c0,2253,"RecordWriteStub"
code-creation,Stub,3,4091,0x1e85e25110a0,2265,"RecordWriteStub"
code-creation,Stub,3,4097,0x1e85e2511980,471,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,4103,0x1e85e2511b60,1019,"CallICStub"
code-creation,Builtin,5,4109,0x1e85e2511f60,384,"CallFunction_ReceiverIsAny"
code-creation,Builtin,5,4115,0x1e85e25120e0,459,"ToObject"
code-creation,Stub,3,4125,0x1e85e25122c0,2250,"RecordWriteStub"
code-creation,Stub,3,4134,0x1e85e2512ba0,433,"ArrayConstructorStub"
code-creation,Stub,3,4143,0x1e85e2512d60,347,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,4151,0x1e85e2512ec0,347,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,4161,0x1e85e2513020,311,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,4171,0x1e85e2513160,299,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,4180,0x1e85e25132a0,299,"ArrayNoArgumentConstructorStub"
code-creation,Builtin,5,4200,0x1e85e25133e0,121,"Abort"
tick,0x7fff758292c2,4219,0,0x0,4
code-creation,Stub,3,4238,0x1e85e2513460,511,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,4281,0x1e85e2513660,479,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,4292,0x1e85e2513840,471,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,4301,0x1e85e2513a20,439,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,4310,0x1e85e2513be0,423,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,4331,0x1e85e2513da0,299,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,4345,0x1e85e2513ee0,423,"ArraySingleArgumentConstructorStub"
code-creation,Builtin,5,4356,0x1e85e25140a0,233,"Call_ReceiverIsAny"
code-creation,Builtin,5,4365,0x1e85e25141a0,249,"CallBoundFunction"
code-creation,Builtin,5,4373,0x1e85e25142a0,359,"CallFunction_ReceiverIsNotNullOrUndefined"
code-creation,Stub,3,4381,0x1e85e2514420,2296,"RecordWriteStub"
code-creation,Stub,3,4387,0x1e85e2514d20,2292,"RecordWriteStub"
code-creation,Stub,3,4392,0x1e85e2515620,2254,"RecordWriteStub"
code-creation,Stub,3,4398,0x1e85e2515f00,2292,"RecordWriteStub"
code-creation,Handler,4,4404,0x1e85e2516800,256,"An IC handler from the snapshot"
code-creation,Stub,3,4410,0x1e85e2516900,2291,"RecordWriteStub"
code-creation,Stub,3,4416,0x1e85e2517200,980,"RecordWriteStub"
code-creation,Stub,3,4422,0x1e85e25175e0,2238,"RecordWriteStub"
code-creation,Stub,3,4427,0x1e85e2517ea0,2266,"RecordWriteStub"
code-creation,Stub,3,4433,0x1e85e2518780,189,"DoubleToIStub"
code-creation,Stub,3,4439,0x1e85e2518840,2270,"RecordWriteStub"
code-creation,Handler,4,4445,0x1e85e2519120,308,"An IC handler from the snapshot"
code-creation,Stub,3,4451,0x1e85e2519260,2280,"RecordWriteStub"
code-creation,Stub,3,4456,0x1e85e2519b60,2265,"RecordWriteStub"
code-creation,Stub,3,4462,0x1e85e251a440,2229,"RecordWriteStub"
code-creation,Stub,3,4468,0x1e85e251ad00,1412,"RecordWriteStub"
code-creation,Stub,3,4476,0x1e85e251b2a0,2314,"RecordWriteStub"
code-creation,Stub,3,4484,0x1e85e251bbc0,978,"RecordWriteStub"
code-creation,Stub,3,4493,0x1e85e251bfa0,2272,"RecordWriteStub"
code-creation,Stub,3,4501,0x1e85e251c880,2266,"RecordWriteStub"
code-creation,Stub,3,4508,0x1e85e251d160,2296,"RecordWriteStub"
code-creation,Stub,3,4514,0x1e85e251da60,978,"RecordWriteStub"
code-creation,Stub,3,4519,0x1e85e251de40,2250,"RecordWriteStub"
code-creation,Stub,3,4525,0x1e85e251e720,463,"InternalArraySingleArgumentConstructorStub"
code-creation,Stub,3,4531,0x1e85e251e900,183,"DoubleToIStub"
code-creation,Stub,3,4537,0x1e85e251e9c0,2300,"RecordWriteStub"
code-creation,Stub,3,4543,0x1e85e251f2c0,2283,"RecordWriteStub"
code-creation,Stub,3,4549,0x1e85e251fbc0,2254,"RecordWriteStub"
code-creation,Stub,3,4554,0x1e85e25204a0,2242,"RecordWriteStub"
code-creation,Stub,3,4560,0x1e85e2520d80,980,"RecordWriteStub"
code-creation,Handler,4,4566,0x1e85e2521160,780,"An IC handler from the snapshot"
code-creation,Stub,3,4572,0x1e85e2521480,2265,"RecordWriteStub"
code-creation,Stub,3,4577,0x1e85e2521d60,483,"CreateAllocationSiteStub"
code-creation,Stub,3,4583,0x1e85e2521f60,2292,"RecordWriteStub"
code-creation,Stub,3,4589,0x1e85e2522860,2269,"RecordWriteStub"
code-creation,Stub,3,4595,0x1e85e2523140,974,"RecordWriteStub"
code-creation,Stub,3,4601,0x1e85e2523520,2280,"RecordWriteStub"
code-creation,Stub,3,4606,0x1e85e2523e20,2275,"RecordWriteStub"
code-creation,Stub,3,4612,0x1e85e2524720,2296,"RecordWriteStub"
code-creation,Stub,3,4618,0x1e85e2525020,2254,"RecordWriteStub"
code-creation,Stub,3,4624,0x1e85e2525900,2254,"RecordWriteStub"
code-creation,Stub,3,4630,0x1e85e25261e0,591,"StringAddStub"
code-creation,Stub,3,4635,0x1e85e2526440,1872,"StringAddStub"
code-creation,Builtin,5,4641,0x1e85e2526ba0,298,"NonPrimitiveToPrimitive_Default"
code-creation,Stub,3,4647,0x1e85e2526ce0,1869,"GetPropertyStub"
code-creation,Builtin,5,4653,0x1e85e2527440,233,"Call_ReceiverIsNotNullOrUndefined"
code-creation,Builtin,5,4659,0x1e85e2527540,364,"OrdinaryToPrimitive_Number"
code-creation,Handler,4,4665,0x1e85e25276c0,308,"An IC handler from the snapshot"
code-creation,Stub,3,4671,0x1e85e2527800,2238,"RecordWriteStub"
code-creation,Stub,3,4677,0x1e85e25280c0,2300,"RecordWriteStub"
code-creation,Stub,3,4682,0x1e85e25289c0,2245,"RecordWriteStub"
code-creation,Stub,3,4704,0x1e85e25292a0,2291,"RecordWriteStub"
code-creation,Stub,3,4711,0x1e85e2529ba0,2270,"RecordWriteStub"
code-creation,Stub,3,4717,0x1e85e252a480,2254,"RecordWriteStub"
code-creation,Stub,3,4723,0x1e85e252ad60,2285,"RecordWriteStub"
code-creation,Handler,4,4728,0x1e85e252b660,308,"An IC handler from the snapshot"
code-creation,Handler,4,4734,0x1e85e252b7a0,744,"An IC handler from the snapshot"
code-creation,Stub,3,4740,0x1e85e252baa0,2296,"RecordWriteStub"
code-creation,Stub,3,4746,0x1e85e252c3a0,2238,"RecordWriteStub"
code-creation,Stub,3,4751,0x1e85e252cc60,2254,"RecordWriteStub"
code-creation,Stub,3,4757,0x1e85e252d540,1391,"RecordWriteStub"
code-creation,Stub,3,4763,0x1e85e252dac0,2242,"RecordWriteStub"
code-creation,Stub,3,4769,0x1e85e252e3a0,2291,"RecordWriteStub"
code-creation,Stub,3,4775,0x1e85e252eca0,183,"DoubleToIStub"
code-creation,Stub,3,4780,0x1e85e252ed60,2266,"RecordWriteStub"
code-creation,Stub,3,4786,0x1e85e252f640,2308,"RecordWriteStub"
code-creation,Handler,4,4792,0x1e85e252ff60,780,"An IC handler from the snapshot"
code-creation,Handler,4,4798,0x1e85e2530280,256,"An IC handler from the snapshot"
code-creation,Stub,3,4803,0x1e85e2530380,2238,"RecordWriteStub"
code-creation,Stub,3,4809,0x1e85e2530c40,2266,"RecordWriteStub"
code-creation,Handler,4,4815,0x1e85e2531520,296,"An IC handler from the snapshot"
code-creation,Stub,3,4821,0x1e85e2531660,1412,"RecordWriteStub"
