v8-version,6,1,534,50,0
shared-library,"/usr/local/opt/node@8/bin/node",0x100002800,0x100843776,0
shared-library,"/usr/local/opt/icu4c/lib/libicui18n.60.dylib",0x101a8ff20,0x101bb9d39,4322811904
shared-library,"/usr/local/opt/icu4c/lib/libicuuc.60.dylib",0x101ceeb20,0x101d9f210,4325298176
shared-library,"/usr/local/opt/icu4c/lib/libicudata.60.2.dylib",0x10202a9f0,0x10202a9f0,4328689664
shared-library,"/System/Library/Frameworks/CoreFoundation.framework/Versions/A/CoreFoundation",0x7fff4d84a860,0x7fff4da3d9ac,634572800
shared-library,"/usr/lib/libSystem.B.dylib",0x7fff733f394a,0x7fff733f3b2e,634572800
shared-library,"/usr/lib/libc++.1.dylib",0x7fff73627f40,0x7fff7366f2b0,634572800
shared-library,"/usr/lib/system/libcache.dylib",0x7fff7556eb08,0x7fff7557156d,634572800
shared-library,"/usr/lib/system/libcommonCrypto.dylib",0x7fff75573c14,0x7fff7557cde1,634572800
shared-library,"/usr/lib/system/libcompiler_rt.dylib",0x7fff7557eef4,0x7fff75583a8b,634572800
shared-library,"/usr/lib/system/libcopyfile.dylib",0x7fff7558709c,0x7fff7558e2dc,634572800
shared-library,"/usr/lib/system/libcorecrypto.dylib",0x7fff75590e80,0x7fff755f5ab9,634572800
shared-library,"/usr/lib/system/libdispatch.dylib",0x7fff7569ea08,0x7fff756c99fe,634572800
shared-library,"/usr/lib/system/libdyld.dylib",0x7fff756d8014,0x7fff756f0410,634572800
shared-library,"/usr/lib/system/libkeymgr.dylib",0x7fff756f5a51,0x7fff756f5e80,634572800
shared-library,"/usr/lib/system/liblaunch.dylib",0x7fff75703fc0,0x7fff75703fc0,634572800
shared-library,"/usr/lib/system/libmacho.dylib",0x7fff757046e8,0x7fff757089dc,634572800
shared-library,"/usr/lib/system/libquarantine.dylib",0x7fff7570a26e,0x7fff7570bb42,634572800
shared-library,"/usr/lib/system/libremovefile.dylib",0x7fff7570c944,0x7fff7570dc73,634572800
shared-library,"/usr/lib/system/libsystem_asl.dylib",0x7fff7570f748,0x7fff75724150,634572800
shared-library,"/usr/lib/system/libsystem_blocks.dylib",0x7fff7572685d,0x7fff75726d0e,634572800
shared-library,"/usr/lib/system/libsystem_c.dylib",0x7fff75728100,0x7fff757a918f,634572800
shared-library,"/usr/lib/system/libsystem_configuration.dylib",0x7fff757b1e04,0x7fff757b46c0,634572800
shared-library,"/usr/lib/system/libsystem_coreservices.dylib",0x7fff757b62d0,0x7fff757b83eb,634572800
shared-library,"/usr/lib/system/libsystem_darwin.dylib",0x7fff757b9fda,0x7fff757bac44,634572800
shared-library,"/usr/lib/system/libsystem_dnssd.dylib",0x7fff757bbf3c,0x7fff757c04cd,634572800
shared-library,"/usr/lib/system/libsystem_info.dylib",0x7fff757c31f0,0x7fff7580841e,634572800
shared-library,"/usr/lib/system/libsystem_m.dylib",0x7fff75834140,0x7fff75864143,634572800
shared-library,"/usr/lib/system/libsystem_malloc.dylib",0x7fff75880250,0x7fff7589931f,634572800
shared-library,"/usr/lib/system/libsystem_network.dylib",0x7fff758a0b70,0x7fff759a2038,634572800
shared-library,"/usr/lib/system/libsystem_networkextension.dylib",0x7fff759d0cff,0x7fff759d882e,634572800
shared-library,"/usr/lib/system/libsystem_notify.dylib",0x7fff759dc148,0x7fff759e483e,634572800
shared-library,"/usr/lib/system/libsystem_sandbox.dylib",0x7fff759fa040,0x7fff759fc52d,634572800
shared-library,"/usr/lib/system/libsystem_secinit.dylib",0x7fff759fda1f,0x7fff759fe588,634572800
shared-library,"/usr/lib/system/libsystem_kernel.dylib",0x7fff7580cf10,0x7fff7582a75d,634572800
shared-library,"/usr/lib/system/libsystem_platform.dylib",0x7fff759e5820,0x7fff759eb38d,634572800
shared-library,"/usr/lib/system/libsystem_pthread.dylib",0x7fff759edf78,0x7fff759f610e,634572800
shared-library,"/usr/lib/system/libsystem_symptoms.dylib",0x7fff759ff938,0x7fff75a0531e,634572800
shared-library,"/usr/lib/system/libsystem_trace.dylib",0x7fff75a08094,0x7fff75a17c8d,634572800
shared-library,"/usr/lib/system/libunwind.dylib",0x7fff75a1c96c,0x7fff75a212a7,634572800
shared-library,"/usr/lib/system/libxpc.dylib",0x7fff75a239c0,0x7fff75a4483e,634572800
shared-library,"/usr/lib/closure/libclosured.dylib",0x7fff72eb8e80,0x7fff72ee3689,634572800
shared-library,"/usr/lib/libobjc.A.dylib",0x7fff74aab000,0x7fff74acc65a,634572800
shared-library,"/usr/lib/libc++abi.dylib",0x7fff7367f600,0x7fff7369dd64,634572800
shared-library,"/usr/lib/libDiagnosticMessagesClient.dylib",0x7fff7307cf08,0x7fff7307d90c,634572800
shared-library,"/usr/lib/libicucore.A.dylib",0x7fff74152fd4,0x7fff7430a2e6,634572800
shared-library,"/usr/lib/libz.1.dylib",0x7fff754c12d0,0x7fff754ccbe5,634572800
profiler,"begin",1000
tick,0x101fa6aa0,806,0,0x0,4
tick,0x7fff759ea05c,2042,0,0x0,4
tick,0x7fff759ea058,3330,0,0x0,4
code-creation,Stub,3,4115,0x2594e2184000,342,"JSEntryStub"
code-creation,Stub,3,4132,0x2594e2184160,342,"JSEntryStub"
code-creation,Builtin,5,4143,0x2594e21842c0,134,"EmptyFunction"
code-creation,Stub,3,4153,0x2594e2184360,382,"CEntryStub"
code-creation,Builtin,5,4162,0x2594e21844e0,139,"ConstructedNonConstructable"
code-creation,Stub,3,4171,0x2594e2184580,382,"CEntryStub"
code-creation,Builtin,5,4178,0x2594e2184700,923,"CompileLazy"
code-creation,Stub,3,4185,0x2594e2184aa0,1358,"RecordWriteStub"
code-creation,Stub,3,4193,0x2594e2185000,168,"StoreBufferOverflowStub"
code-creation,Stub,3,4200,0x2594e21850c0,1386,"RecordWriteStub"
code-creation,Builtin,5,4207,0x2594e2185640,366,"JSConstructStubGenericUnrestrictedReturn"
code-creation,Builtin,5,4214,0x2594e21857c0,1085,"FastNewObject"
code-creation,Builtin,5,4220,0x2594e2185c00,327,"ArgumentsAdaptorTrampoline"
code-creation,Stub,3,4227,0x2594e2185d60,2266,"RecordWriteStub"
code-creation,Stub,3,4234,0x2594e2186640,388,"StoreBufferOverflowStub"
code-creation,Stub,3,4241,0x2594e21867e0,2317,"RecordWriteStub"
code-creation,Stub,3,4248,0x2594e2187100,123,"ArrayNArgumentsConstructorStub"
code-creation,Stub,3,4255,0x2594e2187180,2295,"RecordWriteStub"
code-creation,Stub,3,4262,0x2594e2187a80,2265,"RecordWriteStub"
code-creation,Stub,3,4269,0x2594e2188360,2257,"RecordWriteStub"
code-creation,Stub,3,4275,0x2594e2188c40,2269,"RecordWriteStub"
code-creation,Stub,3,4282,0x2594e2189520,2284,"RecordWriteStub"
code-creation,Stub,3,4289,0x2594e2189e20,2254,"RecordWriteStub"
code-creation,Stub,3,4296,0x2594e218a700,2250,"RecordWriteStub"
code-creation,Stub,3,4303,0x2594e218afe0,2254,"RecordWriteStub"
code-creation,Stub,3,4310,0x2594e218b8c0,2253,"RecordWriteStub"
code-creation,Handler,4,4317,0x2594e218c1a0,732,"An IC handler from the snapshot"
code-creation,Stub,3,4323,0x2594e218c480,2266,"RecordWriteStub"
code-creation,Stub,3,4330,0x2594e218cd60,2292,"RecordWriteStub"
code-creation,Stub,3,4337,0x2594e218d660,699,"TransitionElementsKindStub"
code-creation,Stub,3,4344,0x2594e218d920,980,"RecordWriteStub"
code-creation,Stub,3,4351,0x2594e218dd00,2254,"RecordWriteStub"
code-creation,Stub,3,4358,0x2594e218e5e0,404,"CEntryStub"
code-creation,Stub,3,4365,0x2594e218e780,980,"RecordWriteStub"
code-creation,Stub,3,4372,0x2594e218eb60,992,"RecordWriteStub"
code-creation,Stub,3,4379,0x2594e218ef40,2288,"RecordWriteStub"
code-creation,Stub,3,4385,0x2594e218f840,311,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,4392,0x2594e218f980,1373,"RecordWriteStub"
code-creation,Stub,3,4399,0x2594e218fee0,2253,"RecordWriteStub"
code-creation,Stub,3,4406,0x2594e21907c0,2253,"RecordWriteStub"
code-creation,Stub,3,4413,0x2594e21910a0,2265,"RecordWriteStub"
code-creation,Stub,3,4420,0x2594e2191980,471,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,4427,0x2594e2191b60,1019,"CallICStub"
code-creation,Builtin,5,4434,0x2594e2191f60,384,"CallFunction_ReceiverIsAny"
code-creation,Builtin,5,4441,0x2594e21920e0,459,"ToObject"
code-creation,Stub,3,4447,0x2594e21922c0,2250,"RecordWriteStub"
code-creation,Stub,3,4464,0x2594e2192ba0,433,"ArrayConstructorStub"
code-creation,Stub,3,4472,0x2594e2192d60,347,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,4479,0x2594e2192ec0,347,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,4486,0x2594e2193020,311,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,4493,0x2594e2193160,299,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,4500,0x2594e21932a0,299,"ArrayNoArgumentConstructorStub"
tick,0x7fff758292c2,4524,0,0x0,4
code-creation,Builtin,5,4554,0x2594e21933e0,121,"Abort"
code-creation,Stub,3,4566,0x2594e2193460,511,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,4591,0x2594e2193660,479,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,4599,0x2594e2193840,471,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,4606,0x2594e2193a20,439,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,4613,0x2594e2193be0,423,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,4620,0x2594e2193da0,299,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,4627,0x2594e2193ee0,423,"ArraySingleArgumentConstructorStub"
code-creation,Builtin,5,4634,0x2594e21940a0,233,"Call_ReceiverIsAny"
code-creation,Builtin,5,4641,0x2594e21941a0,249,"CallBoundFunction"
code-creation,Builtin,5,4647,0x2594e21942a0,359,"CallFunction_ReceiverIsNotNullOrUndefined"
