v8-version,6,1,534,50,0
shared-library,"/usr/local/opt/node@8/bin/node",0x100002800,0x100843776,0
shared-library,"/usr/local/opt/icu4c/lib/libicui18n.60.dylib",0x101a8ff20,0x101bb9d39,4322811904
shared-library,"/usr/local/opt/icu4c/lib/libicuuc.60.dylib",0x101ceeb20,0x101d9f210,4325298176
shared-library,"/usr/local/opt/icu4c/lib/libicudata.60.2.dylib",0x101e649f0,0x101e649f0,4326830080
shared-library,"/System/Library/Frameworks/CoreFoundation.framework/Versions/A/CoreFoundation",0x7fff4d84a860,0x7fff4da3d9ac,634572800
shared-library,"/usr/lib/libSystem.B.dylib",0x7fff733f394a,0x7fff733f3b2e,634572800
shared-library,"/usr/lib/libc++.1.dylib",0x7fff73627f40,0x7fff7366f2b0,634572800
shared-library,"/usr/lib/system/libcache.dylib",0x7fff7556eb08,0x7fff7557156d,634572800
shared-library,"/usr/lib/system/libcommonCrypto.dylib",0x7fff75573c14,0x7fff7557cde1,634572800
shared-library,"/usr/lib/system/libcompiler_rt.dylib",0x7fff7557eef4,0x7fff75583a8b,634572800
shared-library,"/usr/lib/system/libcopyfile.dylib",0x7fff7558709c,0x7fff7558e2dc,634572800
shared-library,"/usr/lib/system/libcorecrypto.dylib",0x7fff75590e80,0x7fff755f5ab9,634572800
shared-library,"/usr/lib/system/libdispatch.dylib",0x7fff7569ea08,0x7fff756c99fe,634572800
shared-library,"/usr/lib/system/libdyld.dylib",0x7fff756d8014,0x7fff756f0410,634572800
shared-library,"/usr/lib/system/libkeymgr.dylib",0x7fff756f5a51,0x7fff756f5e80,634572800
shared-library,"/usr/lib/system/liblaunch.dylib",0x7fff75703fc0,0x7fff75703fc0,634572800
shared-library,"/usr/lib/system/libmacho.dylib",0x7fff757046e8,0x7fff757089dc,634572800
shared-library,"/usr/lib/system/libquarantine.dylib",0x7fff7570a26e,0x7fff7570bb42,634572800
shared-library,"/usr/lib/system/libremovefile.dylib",0x7fff7570c944,0x7fff7570dc73,634572800
shared-library,"/usr/lib/system/libsystem_asl.dylib",0x7fff7570f748,0x7fff75724150,634572800
shared-library,"/usr/lib/system/libsystem_blocks.dylib",0x7fff7572685d,0x7fff75726d0e,634572800
shared-library,"/usr/lib/system/libsystem_c.dylib",0x7fff75728100,0x7fff757a918f,634572800
shared-library,"/usr/lib/system/libsystem_configuration.dylib",0x7fff757b1e04,0x7fff757b46c0,634572800
shared-library,"/usr/lib/system/libsystem_coreservices.dylib",0x7fff757b62d0,0x7fff757b83eb,634572800
shared-library,"/usr/lib/system/libsystem_darwin.dylib",0x7fff757b9fda,0x7fff757bac44,634572800
shared-library,"/usr/lib/system/libsystem_dnssd.dylib",0x7fff757bbf3c,0x7fff757c04cd,634572800
shared-library,"/usr/lib/system/libsystem_info.dylib",0x7fff757c31f0,0x7fff7580841e,634572800
shared-library,"/usr/lib/system/libsystem_m.dylib",0x7fff75834140,0x7fff75864143,634572800
shared-library,"/usr/lib/system/libsystem_malloc.dylib",0x7fff75880250,0x7fff7589931f,634572800
shared-library,"/usr/lib/system/libsystem_network.dylib",0x7fff758a0b70,0x7fff759a2038,634572800
shared-library,"/usr/lib/system/libsystem_networkextension.dylib",0x7fff759d0cff,0x7fff759d882e,634572800
shared-library,"/usr/lib/system/libsystem_notify.dylib",0x7fff759dc148,0x7fff759e483e,634572800
shared-library,"/usr/lib/system/libsystem_sandbox.dylib",0x7fff759fa040,0x7fff759fc52d,634572800
shared-library,"/usr/lib/system/libsystem_secinit.dylib",0x7fff759fda1f,0x7fff759fe588,634572800
shared-library,"/usr/lib/system/libsystem_kernel.dylib",0x7fff7580cf10,0x7fff7582a75d,634572800
shared-library,"/usr/lib/system/libsystem_platform.dylib",0x7fff759e5820,0x7fff759eb38d,634572800
shared-library,"/usr/lib/system/libsystem_pthread.dylib",0x7fff759edf78,0x7fff759f610e,634572800
shared-library,"/usr/lib/system/libsystem_symptoms.dylib",0x7fff759ff938,0x7fff75a0531e,634572800
shared-library,"/usr/lib/system/libsystem_trace.dylib",0x7fff75a08094,0x7fff75a17c8d,634572800
shared-library,"/usr/lib/system/libunwind.dylib",0x7fff75a1c96c,0x7fff75a212a7,634572800
shared-library,"/usr/lib/system/libxpc.dylib",0x7fff75a239c0,0x7fff75a4483e,634572800
shared-library,"/usr/lib/closure/libclosured.dylib",0x7fff72eb8e80,0x7fff72ee3689,634572800
shared-library,"/usr/lib/libobjc.A.dylib",0x7fff74aab000,0x7fff74acc65a,634572800
shared-library,"/usr/lib/libc++abi.dylib",0x7fff7367f600,0x7fff7369dd64,634572800
shared-library,"/usr/lib/libDiagnosticMessagesClient.dylib",0x7fff7307cf08,0x7fff7307d90c,634572800
shared-library,"/usr/lib/libicucore.A.dylib",0x7fff74152fd4,0x7fff7430a2e6,634572800
shared-library,"/usr/lib/libz.1.dylib",0x7fff754c12d0,0x7fff754ccbe5,634572800
tick,0x11037ba83,752,0,0x0,4
profiler,"begin",1000
tick,0x7fff759ea05c,2065,0,0x0,4
tick,0x7fff759e9fc9,3144,0,0x0,4
code-creation,Stub,3,4221,0xcd5c0d04000,342,"JSEntryStub"
code-creation,Stub,3,4240,0xcd5c0d04160,342,"JSEntryStub"
code-creation,Builtin,5,4252,0xcd5c0d042c0,134,"EmptyFunction"
code-creation,Stub,3,4262,0xcd5c0d04360,382,"CEntryStub"
code-creation,Builtin,5,4272,0xcd5c0d044e0,139,"ConstructedNonConstructable"
code-creation,Stub,3,4282,0xcd5c0d04580,382,"CEntryStub"
code-creation,Builtin,5,4290,0xcd5c0d04700,923,"CompileLazy"
code-creation,Stub,3,4298,0xcd5c0d04aa0,1358,"RecordWriteStub"
code-creation,Stub,3,4305,0xcd5c0d05000,168,"StoreBufferOverflowStub"
code-creation,Stub,3,4313,0xcd5c0d050c0,1386,"RecordWriteStub"
code-creation,Builtin,5,4320,0xcd5c0d05640,366,"JSConstructStubGenericUnrestrictedReturn"
code-creation,Builtin,5,4328,0xcd5c0d057c0,1085,"FastNewObject"
code-creation,Builtin,5,4336,0xcd5c0d05c00,327,"ArgumentsAdaptorTrampoline"
code-creation,Stub,3,4343,0xcd5c0d05d60,2266,"RecordWriteStub"
code-creation,Stub,3,4351,0xcd5c0d06640,388,"StoreBufferOverflowStub"
code-creation,Stub,3,4358,0xcd5c0d067e0,2317,"RecordWriteStub"
code-creation,Stub,3,4366,0xcd5c0d07100,123,"ArrayNArgumentsConstructorStub"
code-creation,Stub,3,4374,0xcd5c0d07180,2295,"RecordWriteStub"
code-creation,Stub,3,4392,0xcd5c0d07a80,2265,"RecordWriteStub"
tick,0x7fff758292c2,4409,0,0x0,4
code-creation,Stub,3,4436,0xcd5c0d08360,2257,"RecordWriteStub"
code-creation,Stub,3,4447,0xcd5c0d08c40,2269,"RecordWriteStub"
code-creation,Stub,3,4455,0xcd5c0d09520,2284,"RecordWriteStub"
code-creation,Stub,3,4462,0xcd5c0d09e20,2254,"RecordWriteStub"
code-creation,Stub,3,4470,0xcd5c0d0a700,2250,"RecordWriteStub"
code-creation,Stub,3,4478,0xcd5c0d0afe0,2254,"RecordWriteStub"
code-creation,Stub,3,4485,0xcd5c0d0b8c0,2253,"RecordWriteStub"
code-creation,Handler,4,4493,0xcd5c0d0c1a0,732,"An IC handler from the snapshot"
code-creation,Stub,3,4501,0xcd5c0d0c480,2266,"RecordWriteStub"
code-creation,Stub,3,4508,0xcd5c0d0cd60,2292,"RecordWriteStub"
code-creation,Stub,3,4516,0xcd5c0d0d660,699,"TransitionElementsKindStub"
code-creation,Stub,3,4524,0xcd5c0d0d920,980,"RecordWriteStub"
code-creation,Stub,3,4531,0xcd5c0d0dd00,2254,"RecordWriteStub"
code-creation,Stub,3,4539,0xcd5c0d0e5e0,404,"CEntryStub"
code-creation,Stub,3,4546,0xcd5c0d0e780,980,"RecordWriteStub"
code-creation,Stub,3,4554,0xcd5c0d0eb60,992,"RecordWriteStub"
code-creation,Stub,3,4562,0xcd5c0d0ef40,2288,"RecordWriteStub"
code-creation,Stub,3,4569,0xcd5c0d0f840,311,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,4577,0xcd5c0d0f980,1373,"RecordWriteStub"
code-creation,Stub,3,4584,0xcd5c0d0fee0,2253,"RecordWriteStub"
code-creation,Stub,3,4592,0xcd5c0d107c0,2253,"RecordWriteStub"
code-creation,Stub,3,4599,0xcd5c0d110a0,2265,"RecordWriteStub"
code-creation,Stub,3,4607,0xcd5c0d11980,471,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,4615,0xcd5c0d11b60,1019,"CallICStub"
code-creation,Builtin,5,4622,0xcd5c0d11f60,384,"CallFunction_ReceiverIsAny"
code-creation,Builtin,5,4630,0xcd5c0d120e0,459,"ToObject"
code-creation,Stub,3,4638,0xcd5c0d122c0,2250,"RecordWriteStub"
code-creation,Stub,3,4645,0xcd5c0d12ba0,433,"ArrayConstructorStub"
code-creation,Stub,3,4653,0xcd5c0d12d60,347,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,4661,0xcd5c0d12ec0,347,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,4668,0xcd5c0d13020,311,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,4676,0xcd5c0d13160,299,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,4683,0xcd5c0d132a0,299,"ArrayNoArgumentConstructorStub"
code-creation,Builtin,5,4691,0xcd5c0d133e0,121,"Abort"
code-creation,Stub,3,4699,0xcd5c0d13460,511,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,4706,0xcd5c0d13660,479,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,4734,0xcd5c0d13840,471,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,4743,0xcd5c0d13a20,439,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,4750,0xcd5c0d13be0,423,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,4758,0xcd5c0d13da0,299,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,4765,0xcd5c0d13ee0,423,"ArraySingleArgumentConstructorStub"
code-creation,Builtin,5,4773,0xcd5c0d140a0,233,"Call_ReceiverIsAny"
code-creation,Builtin,5,4780,0xcd5c0d141a0,249,"CallBoundFunction"
code-creation,Builtin,5,4788,0xcd5c0d142a0,359,"CallFunction_ReceiverIsNotNullOrUndefined"
code-creation,Stub,3,4795,0xcd5c0d14420,2296,"RecordWriteStub"
code-creation,Stub,3,4803,0xcd5c0d14d20,2292,"RecordWriteStub"
code-creation,Stub,3,4810,0xcd5c0d15620,2254,"RecordWriteStub"
code-creation,Stub,3,4818,0xcd5c0d15f00,2292,"RecordWriteStub"
code-creation,Handler,4,4825,0xcd5c0d16800,256,"An IC handler from the snapshot"
code-creation,Stub,3,4833,0xcd5c0d16900,2291,"RecordWriteStub"
code-creation,Stub,3,4840,0xcd5c0d17200,980,"RecordWriteStub"
code-creation,Stub,3,4848,0xcd5c0d175e0,2238,"RecordWriteStub"
code-creation,Stub,3,4855,0xcd5c0d17ea0,2266,"RecordWriteStub"
code-creation,Stub,3,4863,0xcd5c0d18780,189,"DoubleToIStub"
code-creation,Stub,3,4870,0xcd5c0d18840,2270,"RecordWriteStub"
code-creation,Handler,4,4878,0xcd5c0d19120,308,"An IC handler from the snapshot"
code-creation,Stub,3,4885,0xcd5c0d19260,2280,"RecordWriteStub"
code-creation,Stub,3,4893,0xcd5c0d19b60,2265,"RecordWriteStub"
code-creation,Stub,3,4900,0xcd5c0d1a440,2229,"RecordWriteStub"
code-creation,Stub,3,4907,0xcd5c0d1ad00,1412,"RecordWriteStub"
code-creation,Stub,3,4915,0xcd5c0d1b2a0,2314,"RecordWriteStub"
code-creation,Stub,3,4922,0xcd5c0d1bbc0,978,"RecordWriteStub"
code-creation,Stub,3,4930,0xcd5c0d1bfa0,2272,"RecordWriteStub"
code-creation,Stub,3,4937,0xcd5c0d1c880,2266,"RecordWriteStub"
code-creation,Stub,3,4944,0xcd5c0d1d160,2296,"RecordWriteStub"
code-creation,Stub,3,4952,0xcd5c0d1da60,978,"RecordWriteStub"
code-creation,Stub,3,4959,0xcd5c0d1de40,2250,"RecordWriteStub"
code-creation,Stub,3,4967,0xcd5c0d1e720,463,"InternalArraySingleArgumentConstructorStub"
code-creation,Stub,3,4974,0xcd5c0d1e900,183,"DoubleToIStub"
code-creation,Stub,3,4982,0xcd5c0d1e9c0,2300,"RecordWriteStub"
code-creation,Stub,3,4989,0xcd5c0d1f2c0,2283,"RecordWriteStub"
code-creation,Stub,3,4996,0xcd5c0d1fbc0,2254,"RecordWriteStub"
code-creation,Stub,3,5004,0xcd5c0d204a0,2242,"RecordWriteStub"
code-creation,Stub,3,5011,0xcd5c0d20d80,980,"RecordWriteStub"
code-creation,Handler,4,5019,0xcd5c0d21160,780,"An IC handler from the snapshot"
code-creation,Stub,3,5026,0xcd5c0d21480,2265,"RecordWriteStub"
code-creation,Stub,3,5034,0xcd5c0d21d60,483,"CreateAllocationSiteStub"
code-creation,Stub,3,5041,0xcd5c0d21f60,2292,"RecordWriteStub"
code-creation,Stub,3,5048,0xcd5c0d22860,2269,"RecordWriteStub"
code-creation,Stub,3,5056,0xcd5c0d23140,974,"RecordWriteStub"
code-creation,Stub,3,5063,0xcd5c0d23520,2280,"RecordWriteStub"
code-creation,Stub,3,5071,0xcd5c0d23e20,2275,"RecordWriteStub"
code-creation,Stub,3,5078,0xcd5c0d24720,2296,"RecordWriteStub"
code-creation,Stub,3,5085,0xcd5c0d25020,2254,"RecordWriteStub"
code-creation,Stub,3,5093,0xcd5c0d25900,2254,"RecordWriteStub"
code-creation,Stub,3,5100,0xcd5c0d261e0,591,"StringAddStub"
code-creation,Stub,3,5108,0xcd5c0d26440,1872,"StringAddStub"
code-creation,Builtin,5,5115,0xcd5c0d26ba0,298,"NonPrimitiveToPrimitive_Default"
code-creation,Stub,3,5123,0xcd5c0d26ce0,1869,"GetPropertyStub"
code-creation,Builtin,5,5130,0xcd5c0d27440,233,"Call_ReceiverIsNotNullOrUndefined"
code-creation,Builtin,5,5138,0xcd5c0d27540,364,"OrdinaryToPrimitive_Number"
code-creation,Handler,4,5145,0xcd5c0d276c0,308,"An IC handler from the snapshot"
code-creation,Stub,3,5153,0xcd5c0d27800,2238,"RecordWriteStub"
code-creation,Stub,3,5160,0xcd5c0d280c0,2300,"RecordWriteStub"
code-creation,Stub,3,5168,0xcd5c0d289c0,2245,"RecordWriteStub"
code-creation,Stub,3,5175,0xcd5c0d292a0,2291,"RecordWriteStub"
code-creation,Stub,3,5183,0xcd5c0d29ba0,2270,"RecordWriteStub"
code-creation,Stub,3,5206,0xcd5c0d2a480,2254,"RecordWriteStub"
code-creation,Stub,3,5214,0xcd5c0d2ad60,2285,"RecordWriteStub"
code-creation,Handler,4,5221,0xcd5c0d2b660,308,"An IC handler from the snapshot"
code-creation,Handler,4,5229,0xcd5c0d2b7a0,744,"An IC handler from the snapshot"
code-creation,Stub,3,5236,0xcd5c0d2baa0,2296,"RecordWriteStub"
code-creation,Stub,3,5244,0xcd5c0d2c3a0,2238,"RecordWriteStub"
code-creation,Stub,3,5251,0xcd5c0d2cc60,2254,"RecordWriteStub"
code-creation,Stub,3,5258,0xcd5c0d2d540,1391,"RecordWriteStub"
code-creation,Stub,3,5266,0xcd5c0d2dac0,2242,"RecordWriteStub"
code-creation,Stub,3,5273,0xcd5c0d2e3a0,2291,"RecordWriteStub"
code-creation,Stub,3,5281,0xcd5c0d2eca0,183,"DoubleToIStub"
code-creation,Stub,3,5288,0xcd5c0d2ed60,2266,"RecordWriteStub"
code-creation,Stub,3,5296,0xcd5c0d2f640,2308,"RecordWriteStub"
code-creation,Handler,4,5303,0xcd5c0d2ff60,780,"An IC handler from the snapshot"
code-creation,Handler,4,5311,0xcd5c0d30280,256,"An IC handler from the snapshot"
code-creation,Stub,3,5318,0xcd5c0d30380,2238,"RecordWriteStub"
code-creation,Stub,3,5325,0xcd5c0d30c40,2266,"RecordWriteStub"
code-creation,Handler,4,5333,0xcd5c0d31520,296,"An IC handler from the snapshot"
code-creation,Stub,3,5340,0xcd5c0d31660,1412,"RecordWriteStub"
code-creation,Stub,3,5348,0xcd5c0d31c00,2269,"RecordWriteStub"
code-creation,Stub,3,5355,0xcd5c0d324e0,2250,"RecordWriteStub"
code-creation,Stub,3,5363,0xcd5c0d32dc0,3405,"SubStringStub"
code-creation,Stub,3,5370,0xcd5c0d33b20,183,"DoubleToIStub"
code-creation,Stub,3,5378,0xcd5c0d33be0,387,"CreateWeakCellStub"
code-creation,Handler,4,5385,0xcd5c0d33d80,688,"An IC handler from the snapshot"
code-creation,Stub,3,5393,0xcd5c0d34040,1416,"RecordWriteStub"
code-creation,Stub,3,5400,0xcd5c0d345e0,2257,"RecordWriteStub"
code-creation,Stub,3,5408,0xcd5c0d34ec0,365,"CEntryStub"
code-creation,Stub,3,5415,0xcd5c0d35040,2238,"RecordWriteStub"
code-creation,Stub,3,5423,0xcd5c0d35900,471,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,5430,0xcd5c0d35ae0,2272,"RecordWriteStub"
code-creation,Stub,3,5438,0xcd5c0d363c0,299,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,5445,0xcd5c0d36500,357,"MathPowStub"
code-creation,Handler,4,5453,0xcd5c0d36680,744,"An IC handler from the snapshot"
code-creation,Stub,3,5460,0xcd5c0d36980,427,"CallApiGetterStub"
