v8-version,6,1,534,50,0
shared-library,"/usr/local/opt/node@8/bin/node",0x100002800,0x100843776,0
shared-library,"/usr/local/opt/icu4c/lib/libicui18n.60.dylib",0x101b68f20,0x101c92d39,4323700736
shared-library,"/usr/local/opt/icu4c/lib/libicuuc.60.dylib",0x101dc7b20,0x101e78210,4326187008
shared-library,"/usr/local/opt/icu4c/lib/libicudata.60.2.dylib",0x101f3d9f0,0x101f3d9f0,4327718912
shared-library,"/System/Library/Frameworks/CoreFoundation.framework/Versions/A/CoreFoundation",0x7fff4d84a860,0x7fff4da3d9ac,634572800
shared-library,"/usr/lib/libSystem.B.dylib",0x7fff733f394a,0x7fff733f3b2e,634572800
shared-library,"/usr/lib/libc++.1.dylib",0x7fff73627f40,0x7fff7366f2b0,634572800
shared-library,"/usr/lib/system/libcache.dylib",0x7fff7556eb08,0x7fff7557156d,634572800
shared-library,"/usr/lib/system/libcommonCrypto.dylib",0x7fff75573c14,0x7fff7557cde1,634572800
shared-library,"/usr/lib/system/libcompiler_rt.dylib",0x7fff7557eef4,0x7fff75583a8b,634572800
shared-library,"/usr/lib/system/libcopyfile.dylib",0x7fff7558709c,0x7fff7558e2dc,634572800
shared-library,"/usr/lib/system/libcorecrypto.dylib",0x7fff75590e80,0x7fff755f5ab9,634572800
shared-library,"/usr/lib/system/libdispatch.dylib",0x7fff7569ea08,0x7fff756c99fe,634572800
shared-library,"/usr/lib/system/libdyld.dylib",0x7fff756d8014,0x7fff756f0410,634572800
shared-library,"/usr/lib/system/libkeymgr.dylib",0x7fff756f5a51,0x7fff756f5e80,634572800
shared-library,"/usr/lib/system/liblaunch.dylib",0x7fff75703fc0,0x7fff75703fc0,634572800
shared-library,"/usr/lib/system/libmacho.dylib",0x7fff757046e8,0x7fff757089dc,634572800
shared-library,"/usr/lib/system/libquarantine.dylib",0x7fff7570a26e,0x7fff7570bb42,634572800
shared-library,"/usr/lib/system/libremovefile.dylib",0x7fff7570c944,0x7fff7570dc73,634572800
shared-library,"/usr/lib/system/libsystem_asl.dylib",0x7fff7570f748,0x7fff75724150,634572800
shared-library,"/usr/lib/system/libsystem_blocks.dylib",0x7fff7572685d,0x7fff75726d0e,634572800
shared-library,"/usr/lib/system/libsystem_c.dylib",0x7fff75728100,0x7fff757a918f,634572800
shared-library,"/usr/lib/system/libsystem_configuration.dylib",0x7fff757b1e04,0x7fff757b46c0,634572800
shared-library,"/usr/lib/system/libsystem_coreservices.dylib",0x7fff757b62d0,0x7fff757b83eb,634572800
shared-library,"/usr/lib/system/libsystem_darwin.dylib",0x7fff757b9fda,0x7fff757bac44,634572800
shared-library,"/usr/lib/system/libsystem_dnssd.dylib",0x7fff757bbf3c,0x7fff757c04cd,634572800
shared-library,"/usr/lib/system/libsystem_info.dylib",0x7fff757c31f0,0x7fff7580841e,634572800
shared-library,"/usr/lib/system/libsystem_m.dylib",0x7fff75834140,0x7fff75864143,634572800
shared-library,"/usr/lib/system/libsystem_malloc.dylib",0x7fff75880250,0x7fff7589931f,634572800
shared-library,"/usr/lib/system/libsystem_network.dylib",0x7fff758a0b70,0x7fff759a2038,634572800
shared-library,"/usr/lib/system/libsystem_networkextension.dylib",0x7fff759d0cff,0x7fff759d882e,634572800
shared-library,"/usr/lib/system/libsystem_notify.dylib",0x7fff759dc148,0x7fff759e483e,634572800
shared-library,"/usr/lib/system/libsystem_sandbox.dylib",0x7fff759fa040,0x7fff759fc52d,634572800
shared-library,"/usr/lib/system/libsystem_secinit.dylib",0x7fff759fda1f,0x7fff759fe588,634572800
shared-library,"/usr/lib/system/libsystem_kernel.dylib",0x7fff7580cf10,0x7fff7582a75d,634572800
shared-library,"/usr/lib/system/libsystem_platform.dylib",0x7fff759e5820,0x7fff759eb38d,634572800
shared-library,"/usr/lib/system/libsystem_pthread.dylib",0x7fff759edf78,0x7fff759f610e,634572800
shared-library,"/usr/lib/system/libsystem_symptoms.dylib",0x7fff759ff938,0x7fff75a0531e,634572800
shared-library,"/usr/lib/system/libsystem_trace.dylib",0x7fff75a08094,0x7fff75a17c8d,634572800
shared-library,"/usr/lib/system/libunwind.dylib",0x7fff75a1c96c,0x7fff75a212a7,634572800
shared-library,"/usr/lib/system/libxpc.dylib",0x7fff75a239c0,0x7fff75a4483e,634572800
shared-library,"/usr/lib/closure/libclosured.dylib",0x7fff72eb8e80,0x7fff72ee3689,634572800
shared-library,"/usr/lib/libobjc.A.dylib",0x7fff74aab000,0x7fff74acc65a,634572800
shared-library,"/usr/lib/libc++abi.dylib",0x7fff7367f600,0x7fff7369dd64,634572800
shared-library,"/usr/lib/libDiagnosticMessagesClient.dylib",0x7fff7307cf08,0x7fff7307d90c,634572800
shared-library,"/usr/lib/libicucore.A.dylib",0x7fff74152fd4,0x7fff7430a2e6,634572800
shared-library,"/usr/lib/libz.1.dylib",0x7fff754c12d0,0x7fff754ccbe5,634572800
tick,0x7fff7581f246,708,0,0x0,4
profiler,"begin",1000
tick,0x1006949b5,1709,0,0x0,4
tick,0x7fff759ea069,2925,0,0x0,4
code-creation,Stub,3,3869,0x157115604000,342,"JSEntryStub"
code-creation,Stub,3,3888,0x157115604160,342,"JSEntryStub"
code-creation,Builtin,5,3898,0x1571156042c0,134,"EmptyFunction"
code-creation,Stub,3,3906,0x157115604360,382,"CEntryStub"
code-creation,Builtin,5,3914,0x1571156044e0,139,"ConstructedNonConstructable"
code-creation,Stub,3,3922,0x157115604580,382,"CEntryStub"
code-creation,Builtin,5,3928,0x157115604700,923,"CompileLazy"
code-creation,Stub,3,3933,0x157115604aa0,1358,"RecordWriteStub"
code-creation,Stub,3,3939,0x157115605000,168,"StoreBufferOverflowStub"
code-creation,Stub,3,3945,0x1571156050c0,1386,"RecordWriteStub"
code-creation,Builtin,5,3954,0x157115605640,366,"JSConstructStubGenericUnrestrictedReturn"
code-creation,Builtin,5,3962,0x1571156057c0,1085,"FastNewObject"
code-creation,Builtin,5,3968,0x157115605c00,327,"ArgumentsAdaptorTrampoline"
code-creation,Stub,3,3973,0x157115605d60,2266,"RecordWriteStub"
tick,0x7fff75779376,3995,0,0x0,4
code-creation,Stub,3,4015,0x157115606640,388,"StoreBufferOverflowStub"
code-creation,Stub,3,4023,0x1571156067e0,2317,"RecordWriteStub"
code-creation,Stub,3,4029,0x157115607100,123,"ArrayNArgumentsConstructorStub"
code-creation,Stub,3,4034,0x157115607180,2295,"RecordWriteStub"
code-creation,Stub,3,4040,0x157115607a80,2265,"RecordWriteStub"
code-creation,Stub,3,4045,0x157115608360,2257,"RecordWriteStub"
code-creation,Stub,3,4051,0x157115608c40,2269,"RecordWriteStub"
code-creation,Stub,3,4057,0x157115609520,2284,"RecordWriteStub"
code-creation,Stub,3,4062,0x157115609e20,2254,"RecordWriteStub"
code-creation,Stub,3,4068,0x15711560a700,2250,"RecordWriteStub"
code-creation,Stub,3,4073,0x15711560afe0,2254,"RecordWriteStub"
code-creation,Stub,3,4079,0x15711560b8c0,2253,"RecordWriteStub"
code-creation,Handler,4,4085,0x15711560c1a0,732,"An IC handler from the snapshot"
code-creation,Stub,3,4090,0x15711560c480,2266,"RecordWriteStub"
code-creation,Stub,3,4096,0x15711560cd60,2292,"RecordWriteStub"
code-creation,Stub,3,4101,0x15711560d660,699,"TransitionElementsKindStub"
code-creation,Stub,3,4107,0x15711560d920,980,"RecordWriteStub"
code-creation,Stub,3,4112,0x15711560dd00,2254,"RecordWriteStub"
code-creation,Stub,3,4118,0x15711560e5e0,404,"CEntryStub"
code-creation,Stub,3,4123,0x15711560e780,980,"RecordWriteStub"
code-creation,Stub,3,4129,0x15711560eb60,992,"RecordWriteStub"
code-creation,Stub,3,4134,0x15711560ef40,2288,"RecordWriteStub"
code-creation,Stub,3,4140,0x15711560f840,311,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,4145,0x15711560f980,1373,"RecordWriteStub"
code-creation,Stub,3,4151,0x15711560fee0,2253,"RecordWriteStub"
code-creation,Stub,3,4156,0x1571156107c0,2253,"RecordWriteStub"
code-creation,Stub,3,4162,0x1571156110a0,2265,"RecordWriteStub"
code-creation,Stub,3,4167,0x157115611980,471,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,4173,0x157115611b60,1019,"CallICStub"
code-creation,Builtin,5,4178,0x157115611f60,384,"CallFunction_ReceiverIsAny"
code-creation,Builtin,5,4184,0x1571156120e0,459,"ToObject"
code-creation,Stub,3,4190,0x1571156122c0,2250,"RecordWriteStub"
code-creation,Stub,3,4195,0x157115612ba0,433,"ArrayConstructorStub"
code-creation,Stub,3,4201,0x157115612d60,347,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,4206,0x157115612ec0,347,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,4212,0x157115613020,311,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,4217,0x157115613160,299,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,4222,0x1571156132a0,299,"ArrayNoArgumentConstructorStub"
code-creation,Builtin,5,4228,0x1571156133e0,121,"Abort"
code-creation,Stub,3,4234,0x157115613460,511,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,4257,0x157115613660,479,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,4263,0x157115613840,471,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,4269,0x157115613a20,439,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,4275,0x157115613be0,423,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,4280,0x157115613da0,299,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,4286,0x157115613ee0,423,"ArraySingleArgumentConstructorStub"
code-creation,Builtin,5,4292,0x1571156140a0,233,"Call_ReceiverIsAny"
code-creation,Builtin,5,4297,0x1571156141a0,249,"CallBoundFunction"
code-creation,Builtin,5,4303,0x1571156142a0,359,"CallFunction_ReceiverIsNotNullOrUndefined"
code-creation,Stub,3,4309,0x157115614420,2296,"RecordWriteStub"
code-creation,Stub,3,4314,0x157115614d20,2292,"RecordWriteStub"
code-creation,Stub,3,4320,0x157115615620,2254,"RecordWriteStub"
