v8-version,6,1,534,50,0
shared-library,"/usr/local/opt/node@8/bin/node",0x100002800,0x100843776,0
shared-library,"/usr/local/opt/icu4c/lib/libicui18n.60.dylib",0x101a8ff20,0x101bb9d39,4322811904
shared-library,"/usr/local/opt/icu4c/lib/libicuuc.60.dylib",0x101ceeb20,0x101d9f210,4325298176
shared-library,"/usr/local/opt/icu4c/lib/libicudata.60.2.dylib",0x101e649f0,0x101e649f0,4326830080
shared-library,"/System/Library/Frameworks/CoreFoundation.framework/Versions/A/CoreFoundation",0x7fff4d84a860,0x7fff4da3d9ac,634572800
shared-library,"/usr/lib/libSystem.B.dylib",0x7fff733f394a,0x7fff733f3b2e,634572800
shared-library,"/usr/lib/libc++.1.dylib",0x7fff73627f40,0x7fff7366f2b0,634572800
shared-library,"/usr/lib/system/libcache.dylib",0x7fff7556eb08,0x7fff7557156d,634572800
shared-library,"/usr/lib/system/libcommonCrypto.dylib",0x7fff75573c14,0x7fff7557cde1,634572800
shared-library,"/usr/lib/system/libcompiler_rt.dylib",0x7fff7557eef4,0x7fff75583a8b,634572800
shared-library,"/usr/lib/system/libcopyfile.dylib",0x7fff7558709c,0x7fff7558e2dc,634572800
shared-library,"/usr/lib/system/libcorecrypto.dylib",0x7fff75590e80,0x7fff755f5ab9,634572800
shared-library,"/usr/lib/system/libdispatch.dylib",0x7fff7569ea08,0x7fff756c99fe,634572800
shared-library,"/usr/lib/system/libdyld.dylib",0x7fff756d8014,0x7fff756f0410,634572800
shared-library,"/usr/lib/system/libkeymgr.dylib",0x7fff756f5a51,0x7fff756f5e80,634572800
shared-library,"/usr/lib/system/liblaunch.dylib",0x7fff75703fc0,0x7fff75703fc0,634572800
shared-library,"/usr/lib/system/libmacho.dylib",0x7fff757046e8,0x7fff757089dc,634572800
shared-library,"/usr/lib/system/libquarantine.dylib",0x7fff7570a26e,0x7fff7570bb42,634572800
shared-library,"/usr/lib/system/libremovefile.dylib",0x7fff7570c944,0x7fff7570dc73,634572800
shared-library,"/usr/lib/system/libsystem_asl.dylib",0x7fff7570f748,0x7fff75724150,634572800
shared-library,"/usr/lib/system/libsystem_blocks.dylib",0x7fff7572685d,0x7fff75726d0e,634572800
shared-library,"/usr/lib/system/libsystem_c.dylib",0x7fff75728100,0x7fff757a918f,634572800
shared-library,"/usr/lib/system/libsystem_configuration.dylib",0x7fff757b1e04,0x7fff757b46c0,634572800
shared-library,"/usr/lib/system/libsystem_coreservices.dylib",0x7fff757b62d0,0x7fff757b83eb,634572800
shared-library,"/usr/lib/system/libsystem_darwin.dylib",0x7fff757b9fda,0x7fff757bac44,634572800
shared-library,"/usr/lib/system/libsystem_dnssd.dylib",0x7fff757bbf3c,0x7fff757c04cd,634572800
shared-library,"/usr/lib/system/libsystem_info.dylib",0x7fff757c31f0,0x7fff7580841e,634572800
shared-library,"/usr/lib/system/libsystem_m.dylib",0x7fff75834140,0x7fff75864143,634572800
shared-library,"/usr/lib/system/libsystem_malloc.dylib",0x7fff75880250,0x7fff7589931f,634572800
shared-library,"/usr/lib/system/libsystem_network.dylib",0x7fff758a0b70,0x7fff759a2038,634572800
shared-library,"/usr/lib/system/libsystem_networkextension.dylib",0x7fff759d0cff,0x7fff759d882e,634572800
shared-library,"/usr/lib/system/libsystem_notify.dylib",0x7fff759dc148,0x7fff759e483e,634572800
shared-library,"/usr/lib/system/libsystem_sandbox.dylib",0x7fff759fa040,0x7fff759fc52d,634572800
shared-library,"/usr/lib/system/libsystem_secinit.dylib",0x7fff759fda1f,0x7fff759fe588,634572800
shared-library,"/usr/lib/system/libsystem_kernel.dylib",0x7fff7580cf10,0x7fff7582a75d,634572800
shared-library,"/usr/lib/system/libsystem_platform.dylib",0x7fff759e5820,0x7fff759eb38d,634572800
shared-library,"/usr/lib/system/libsystem_pthread.dylib",0x7fff759edf78,0x7fff759f610e,634572800
shared-library,"/usr/lib/system/libsystem_symptoms.dylib",0x7fff759ff938,0x7fff75a0531e,634572800
shared-library,"/usr/lib/system/libsystem_trace.dylib",0x7fff75a08094,0x7fff75a17c8d,634572800
shared-library,"/usr/lib/system/libunwind.dylib",0x7fff75a1c96c,0x7fff75a212a7,634572800
shared-library,"/usr/lib/system/libxpc.dylib",0x7fff75a239c0,0x7fff75a4483e,634572800
shared-library,"/usr/lib/closure/libclosured.dylib",0x7fff72eb8e80,0x7fff72ee3689,634572800
shared-library,"/usr/lib/libobjc.A.dylib",0x7fff74aab000,0x7fff74acc65a,634572800
shared-library,"/usr/lib/libc++abi.dylib",0x7fff7367f600,0x7fff7369dd64,634572800
shared-library,"/usr/lib/libDiagnosticMessagesClient.dylib",0x7fff7307cf08,0x7fff7307d90c,634572800
shared-library,"/usr/lib/libicucore.A.dylib",0x7fff74152fd4,0x7fff7430a2e6,634572800
shared-library,"/usr/lib/libz.1.dylib",0x7fff754c12d0,0x7fff754ccbe5,634572800
profiler,"begin",1000
tick,0x7fff7581f246,680,0,0x0,4
tick,0x7fff759e9f81,1658,0,0x0,4
tick,0x100694cd2,2973,0,0x0,4
code-creation,Stub,3,3842,0x5f4d4c04000,342,"JSEntryStub"
code-creation,Stub,3,3857,0x5f4d4c04160,342,"JSEntryStub"
code-creation,Builtin,5,3866,0x5f4d4c042c0,134,"EmptyFunction"
code-creation,Stub,3,3875,0x5f4d4c04360,382,"CEntryStub"
code-creation,Builtin,5,3882,0x5f4d4c044e0,139,"ConstructedNonConstructable"
code-creation,Stub,3,3890,0x5f4d4c04580,382,"CEntryStub"
code-creation,Builtin,5,3896,0x5f4d4c04700,923,"CompileLazy"
code-creation,Stub,3,3902,0x5f4d4c04aa0,1358,"RecordWriteStub"
code-creation,Stub,3,3908,0x5f4d4c05000,168,"StoreBufferOverflowStub"
code-creation,Stub,3,3913,0x5f4d4c050c0,1386,"RecordWriteStub"
code-creation,Builtin,5,3919,0x5f4d4c05640,366,"JSConstructStubGenericUnrestrictedReturn"
code-creation,Builtin,5,3925,0x5f4d4c057c0,1085,"FastNewObject"
code-creation,Builtin,5,3930,0x5f4d4c05c00,327,"ArgumentsAdaptorTrampoline"
code-creation,Stub,3,3936,0x5f4d4c05d60,2266,"RecordWriteStub"
code-creation,Stub,3,3941,0x5f4d4c06640,388,"StoreBufferOverflowStub"
code-creation,Stub,3,3947,0x5f4d4c067e0,2317,"RecordWriteStub"
code-creation,Stub,3,3953,0x5f4d4c07100,123,"ArrayNArgumentsConstructorStub"
code-creation,Stub,3,3958,0x5f4d4c07180,2295,"RecordWriteStub"
code-creation,Stub,3,3964,0x5f4d4c07a80,2265,"RecordWriteStub"
code-creation,Stub,3,3970,0x5f4d4c08360,2257,"RecordWriteStub"
code-creation,Stub,3,3975,0x5f4d4c08c40,2269,"RecordWriteStub"
code-creation,Stub,3,3981,0x5f4d4c09520,2284,"RecordWriteStub"
code-creation,Stub,3,3986,0x5f4d4c09e20,2254,"RecordWriteStub"
code-creation,Stub,3,3992,0x5f4d4c0a700,2250,"RecordWriteStub"
code-creation,Stub,3,3998,0x5f4d4c0afe0,2254,"RecordWriteStub"
code-creation,Stub,3,4003,0x5f4d4c0b8c0,2253,"RecordWriteStub"
code-creation,Handler,4,4009,0x5f4d4c0c1a0,732,"An IC handler from the snapshot"
code-creation,Stub,3,4015,0x5f4d4c0c480,2266,"RecordWriteStub"
code-creation,Stub,3,4020,0x5f4d4c0cd60,2292,"RecordWriteStub"
code-creation,Stub,3,4026,0x5f4d4c0d660,699,"TransitionElementsKindStub"
code-creation,Stub,3,4032,0x5f4d4c0d920,980,"RecordWriteStub"
code-creation,Stub,3,4037,0x5f4d4c0dd00,2254,"RecordWriteStub"
code-creation,Stub,3,4043,0x5f4d4c0e5e0,404,"CEntryStub"
code-creation,Stub,3,4049,0x5f4d4c0e780,980,"RecordWriteStub"
code-creation,Stub,3,4054,0x5f4d4c0eb60,992,"RecordWriteStub"
code-creation,Stub,3,4060,0x5f4d4c0ef40,2288,"RecordWriteStub"
code-creation,Stub,3,4066,0x5f4d4c0f840,311,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,4071,0x5f4d4c0f980,1373,"RecordWriteStub"
code-creation,Stub,3,4077,0x5f4d4c0fee0,2253,"RecordWriteStub"
code-creation,Stub,3,4083,0x5f4d4c107c0,2253,"RecordWriteStub"
code-creation,Stub,3,4088,0x5f4d4c110a0,2265,"RecordWriteStub"
code-creation,Stub,3,4094,0x5f4d4c11980,471,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,4100,0x5f4d4c11b60,1019,"CallICStub"
code-creation,Builtin,5,4105,0x5f4d4c11f60,384,"CallFunction_ReceiverIsAny"
code-creation,Builtin,5,4111,0x5f4d4c120e0,459,"ToObject"
code-creation,Stub,3,4117,0x5f4d4c122c0,2250,"RecordWriteStub"
code-creation,Stub,3,4122,0x5f4d4c12ba0,433,"ArrayConstructorStub"
code-creation,Stub,3,4128,0x5f4d4c12d60,347,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,4134,0x5f4d4c12ec0,347,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,4139,0x5f4d4c13020,311,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,4145,0x5f4d4c13160,299,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,4151,0x5f4d4c132a0,299,"ArrayNoArgumentConstructorStub"
code-creation,Builtin,5,4156,0x5f4d4c133e0,121,"Abort"
code-creation,Stub,3,4162,0x5f4d4c13460,511,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,4168,0x5f4d4c13660,479,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,4190,0x5f4d4c13840,471,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,4196,0x5f4d4c13a20,439,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,4202,0x5f4d4c13be0,423,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,4207,0x5f4d4c13da0,299,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,4213,0x5f4d4c13ee0,423,"ArraySingleArgumentConstructorStub"
code-creation,Builtin,5,4219,0x5f4d4c140a0,233,"Call_ReceiverIsAny"
code-creation,Builtin,5,4224,0x5f4d4c141a0,249,"CallBoundFunction"
tick,0x7fff759e9f7d,4287,0,0x0,4
code-creation,Builtin,5,4310,0x5f4d4c142a0,359,"CallFunction_ReceiverIsNotNullOrUndefined"
code-creation,Stub,3,4318,0x5f4d4c14420,2296,"RecordWriteStub"
code-creation,Stub,3,4324,0x5f4d4c14d20,2292,"RecordWriteStub"
code-creation,Stub,3,4330,0x5f4d4c15620,2254,"RecordWriteStub"
code-creation,Stub,3,4362,0x5f4d4c15f00,2292,"RecordWriteStub"
code-creation,Handler,4,4368,0x5f4d4c16800,256,"An IC handler from the snapshot"
code-creation,Stub,3,4390,0x5f4d4c16900,2291,"RecordWriteStub"
code-creation,Stub,3,4395,0x5f4d4c17200,980,"RecordWriteStub"
code-creation,Stub,3,4401,0x5f4d4c175e0,2238,"RecordWriteStub"
code-creation,Stub,3,4407,0x5f4d4c17ea0,2266,"RecordWriteStub"
code-creation,Stub,3,4412,0x5f4d4c18780,189,"DoubleToIStub"
code-creation,Stub,3,4418,0x5f4d4c18840,2270,"RecordWriteStub"
code-creation,Handler,4,4423,0x5f4d4c19120,308,"An IC handler from the snapshot"
code-creation,Stub,3,4429,0x5f4d4c19260,2280,"RecordWriteStub"
code-creation,Stub,3,4435,0x5f4d4c19b60,2265,"RecordWriteStub"
code-creation,Stub,3,4440,0x5f4d4c1a440,2229,"RecordWriteStub"
code-creation,Stub,3,4446,0x5f4d4c1ad00,1412,"RecordWriteStub"
code-creation,Stub,3,4451,0x5f4d4c1b2a0,2314,"RecordWriteStub"
code-creation,Stub,3,4457,0x5f4d4c1bbc0,978,"RecordWriteStub"
code-creation,Stub,3,4462,0x5f4d4c1bfa0,2272,"RecordWriteStub"
code-creation,Stub,3,4468,0x5f4d4c1c880,2266,"RecordWriteStub"
code-creation,Stub,3,4473,0x5f4d4c1d160,2296,"RecordWriteStub"
code-creation,Stub,3,4479,0x5f4d4c1da60,978,"RecordWriteStub"
code-creation,Stub,3,4485,0x5f4d4c1de40,2250,"RecordWriteStub"
code-creation,Stub,3,4490,0x5f4d4c1e720,463,"InternalArraySingleArgumentConstructorStub"
code-creation,Stub,3,4496,0x5f4d4c1e900,183,"DoubleToIStub"
code-creation,Stub,3,4501,0x5f4d4c1e9c0,2300,"RecordWriteStub"
code-creation,Stub,3,4507,0x5f4d4c1f2c0,2283,"RecordWriteStub"
code-creation,Stub,3,4512,0x5f4d4c1fbc0,2254,"RecordWriteStub"
code-creation,Stub,3,4518,0x5f4d4c204a0,2242,"RecordWriteStub"
code-creation,Stub,3,4524,0x5f4d4c20d80,980,"RecordWriteStub"
code-creation,Handler,4,4529,0x5f4d4c21160,780,"An IC handler from the snapshot"
code-creation,Stub,3,4535,0x5f4d4c21480,2265,"RecordWriteStub"
code-creation,Stub,3,4541,0x5f4d4c21d60,483,"CreateAllocationSiteStub"
code-creation,Stub,3,4546,0x5f4d4c21f60,2292,"RecordWriteStub"
code-creation,Stub,3,4552,0x5f4d4c22860,2269,"RecordWriteStub"
code-creation,Stub,3,4557,0x5f4d4c23140,974,"RecordWriteStub"
code-creation,Stub,3,4563,0x5f4d4c23520,2280,"RecordWriteStub"
code-creation,Stub,3,4569,0x5f4d4c23e20,2275,"RecordWriteStub"
code-creation,Stub,3,4574,0x5f4d4c24720,2296,"RecordWriteStub"
code-creation,Stub,3,4580,0x5f4d4c25020,2254,"RecordWriteStub"
code-creation,Stub,3,4585,0x5f4d4c25900,2254,"RecordWriteStub"
code-creation,Stub,3,4591,0x5f4d4c261e0,591,"StringAddStub"
code-creation,Stub,3,4596,0x5f4d4c26440,1872,"StringAddStub"
code-creation,Builtin,5,4602,0x5f4d4c26ba0,298,"NonPrimitiveToPrimitive_Default"
code-creation,Stub,3,4608,0x5f4d4c26ce0,1869,"GetPropertyStub"
code-creation,Builtin,5,4613,0x5f4d4c27440,233,"Call_ReceiverIsNotNullOrUndefined"
code-creation,Builtin,5,4619,0x5f4d4c27540,364,"OrdinaryToPrimitive_Number"
code-creation,Handler,4,4625,0x5f4d4c276c0,308,"An IC handler from the snapshot"
code-creation,Stub,3,4630,0x5f4d4c27800,2238,"RecordWriteStub"
code-creation,Stub,3,4636,0x5f4d4c280c0,2300,"RecordWriteStub"
code-creation,Stub,3,4641,0x5f4d4c289c0,2245,"RecordWriteStub"
code-creation,Stub,3,4647,0x5f4d4c292a0,2291,"RecordWriteStub"
code-creation,Stub,3,4653,0x5f4d4c29ba0,2270,"RecordWriteStub"
code-creation,Stub,3,4673,0x5f4d4c2a480,2254,"RecordWriteStub"
code-creation,Stub,3,4679,0x5f4d4c2ad60,2285,"RecordWriteStub"
code-creation,Handler,4,4685,0x5f4d4c2b660,308,"An IC handler from the snapshot"
code-creation,Handler,4,4690,0x5f4d4c2b7a0,744,"An IC handler from the snapshot"
code-creation,Stub,3,4696,0x5f4d4c2baa0,2296,"RecordWriteStub"
code-creation,Stub,3,4701,0x5f4d4c2c3a0,2238,"RecordWriteStub"
code-creation,Stub,3,4707,0x5f4d4c2cc60,2254,"RecordWriteStub"
code-creation,Stub,3,4712,0x5f4d4c2d540,1391,"RecordWriteStub"
code-creation,Stub,3,4718,0x5f4d4c2dac0,2242,"RecordWriteStub"
code-creation,Stub,3,4723,0x5f4d4c2e3a0,2291,"RecordWriteStub"
code-creation,Stub,3,4729,0x5f4d4c2eca0,183,"DoubleToIStub"
code-creation,Stub,3,4734,0x5f4d4c2ed60,2266,"RecordWriteStub"
code-creation,Stub,3,4740,0x5f4d4c2f640,2308,"RecordWriteStub"
code-creation,Handler,4,4745,0x5f4d4c2ff60,780,"An IC handler from the snapshot"
code-creation,Handler,4,4751,0x5f4d4c30280,256,"An IC handler from the snapshot"
code-creation,Stub,3,4756,0x5f4d4c30380,2238,"RecordWriteStub"
code-creation,Stub,3,4762,0x5f4d4c30c40,2266,"RecordWriteStub"
code-creation,Handler,4,4767,0x5f4d4c31520,296,"An IC handler from the snapshot"
code-creation,Stub,3,4773,0x5f4d4c31660,1412,"RecordWriteStub"
code-creation,Stub,3,4778,0x5f4d4c31c00,2269,"RecordWriteStub"
code-creation,Stub,3,4784,0x5f4d4c324e0,2250,"RecordWriteStub"
code-creation,Stub,3,4789,0x5f4d4c32dc0,3405,"SubStringStub"
code-creation,Stub,3,4795,0x5f4d4c33b20,183,"DoubleToIStub"
code-creation,Stub,3,4800,0x5f4d4c33be0,387,"CreateWeakCellStub"
code-creation,Handler,4,4806,0x5f4d4c33d80,688,"An IC handler from the snapshot"
code-creation,Stub,3,4811,0x5f4d4c34040,1416,"RecordWriteStub"
code-creation,Stub,3,4817,0x5f4d4c345e0,2257,"RecordWriteStub"
code-creation,Stub,3,4822,0x5f4d4c34ec0,365,"CEntryStub"
code-creation,Stub,3,4828,0x5f4d4c35040,2238,"RecordWriteStub"
code-creation,Stub,3,4833,0x5f4d4c35900,471,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,4839,0x5f4d4c35ae0,2272,"RecordWriteStub"
code-creation,Stub,3,4844,0x5f4d4c363c0,299,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,4850,0x5f4d4c36500,357,"MathPowStub"
code-creation,Handler,4,4855,0x5f4d4c36680,744,"An IC handler from the snapshot"
code-creation,Stub,3,4861,0x5f4d4c36980,427,"CallApiGetterStub"
code-creation,Stub,3,4866,0x5f4d4c36b40,295,"InternalArrayNoArgumentConstructorStub"
code-creation,Stub,3,4872,0x5f4d4c36c80,2276,"RecordWriteStub"
code-creation,Stub,3,4877,0x5f4d4c37580,2284,"RecordWriteStub"
code-creation,Stub,3,4883,0x5f4d4c37e80,2254,"RecordWriteStub"
code-creation,Stub,3,4888,0x5f4d4c38760,615,"StringAddStub"
code-creation,Stub,3,4894,0x5f4d4c389e0,375,"NumberToStringStub"
code-creation,Stub,3,4899,0x5f4d4c38b60,980,"RecordWriteStub"
code-creation,Stub,3,4905,0x5f4d4c38f40,2263,"RecordWriteStub"
code-creation,Handler,4,4910,0x5f4d4c39820,296,"An IC handler from the snapshot"
code-creation,Stub,3,4916,0x5f4d4c39960,2307,"RecordWriteStub"
code-creation,Stub,3,4921,0x5f4d4c3a280,2254,"RecordWriteStub"
code-creation,Stub,3,4927,0x5f4d4c3ab60,185,"DoubleToIStub"
code-creation,Stub,3,4932,0x5f4d4c3ac20,2283,"RecordWriteStub"
code-creation,Stub,3,4938,0x5f4d4c3b520,978,"RecordWriteStub"
code-creation,Stub,3,4943,0x5f4d4c3b900,2257,"RecordWriteStub"
code-creation,Stub,3,4949,0x5f4d4c3c1e0,2292,"RecordWriteStub"
code-creation,Stub,3,4954,0x5f4d4c3cae0,2241,"RecordWriteStub"
code-creation,Stub,3,4960,0x5f4d4c3d3c0,2279,"RecordWriteStub"
code-creation,Stub,3,4965,0x5f4d4c3dcc0,972,"RecordWriteStub"
code-creation,Stub,3,4971,0x5f4d4c3e0a0,2254,"RecordWriteStub"
code-creation,Stub,3,4976,0x5f4d4c3e980,431,"InternalArraySingleArgumentConstructorStub"
code-creation,Handler,4,4982,0x5f4d4c3eb40,688,"An IC handler from the snapshot"
code-creation,Stub,3,4987,0x5f4d4c3ee00,974,"RecordWriteStub"
code-creation,Stub,3,4993,0x5f4d4c3f1e0,2254,"RecordWriteStub"
