v8-version,6,1,534,50,0
shared-library,"/usr/local/opt/node@8/bin/node",0x100002800,0x100843776,0
shared-library,"/usr/local/opt/icu4c/lib/libicui18n.60.dylib",0x101a8ff20,0x101bb9d39,4322811904
shared-library,"/usr/local/opt/icu4c/lib/libicuuc.60.dylib",0x101ceeb20,0x101d9f210,4325298176
shared-library,"/usr/local/opt/icu4c/lib/libicudata.60.2.dylib",0x101e649f0,0x101e649f0,4326830080
shared-library,"/System/Library/Frameworks/CoreFoundation.framework/Versions/A/CoreFoundation",0x7fff4d84a860,0x7fff4da3d9ac,634572800
shared-library,"/usr/lib/libSystem.B.dylib",0x7fff733f394a,0x7fff733f3b2e,634572800
shared-library,"/usr/lib/libc++.1.dylib",0x7fff73627f40,0x7fff7366f2b0,634572800
shared-library,"/usr/lib/system/libcache.dylib",0x7fff7556eb08,0x7fff7557156d,634572800
shared-library,"/usr/lib/system/libcommonCrypto.dylib",0x7fff75573c14,0x7fff7557cde1,634572800
shared-library,"/usr/lib/system/libcompiler_rt.dylib",0x7fff7557eef4,0x7fff75583a8b,634572800
shared-library,"/usr/lib/system/libcopyfile.dylib",0x7fff7558709c,0x7fff7558e2dc,634572800
shared-library,"/usr/lib/system/libcorecrypto.dylib",0x7fff75590e80,0x7fff755f5ab9,634572800
shared-library,"/usr/lib/system/libdispatch.dylib",0x7fff7569ea08,0x7fff756c99fe,634572800
shared-library,"/usr/lib/system/libdyld.dylib",0x7fff756d8014,0x7fff756f0410,634572800
shared-library,"/usr/lib/system/libkeymgr.dylib",0x7fff756f5a51,0x7fff756f5e80,634572800
shared-library,"/usr/lib/system/liblaunch.dylib",0x7fff75703fc0,0x7fff75703fc0,634572800
shared-library,"/usr/lib/system/libmacho.dylib",0x7fff757046e8,0x7fff757089dc,634572800
shared-library,"/usr/lib/system/libquarantine.dylib",0x7fff7570a26e,0x7fff7570bb42,634572800
shared-library,"/usr/lib/system/libremovefile.dylib",0x7fff7570c944,0x7fff7570dc73,634572800
shared-library,"/usr/lib/system/libsystem_asl.dylib",0x7fff7570f748,0x7fff75724150,634572800
shared-library,"/usr/lib/system/libsystem_blocks.dylib",0x7fff7572685d,0x7fff75726d0e,634572800
shared-library,"/usr/lib/system/libsystem_c.dylib",0x7fff75728100,0x7fff757a918f,634572800
shared-library,"/usr/lib/system/libsystem_configuration.dylib",0x7fff757b1e04,0x7fff757b46c0,634572800
shared-library,"/usr/lib/system/libsystem_coreservices.dylib",0x7fff757b62d0,0x7fff757b83eb,634572800
shared-library,"/usr/lib/system/libsystem_darwin.dylib",0x7fff757b9fda,0x7fff757bac44,634572800
shared-library,"/usr/lib/system/libsystem_dnssd.dylib",0x7fff757bbf3c,0x7fff757c04cd,634572800
shared-library,"/usr/lib/system/libsystem_info.dylib",0x7fff757c31f0,0x7fff7580841e,634572800
shared-library,"/usr/lib/system/libsystem_m.dylib",0x7fff75834140,0x7fff75864143,634572800
shared-library,"/usr/lib/system/libsystem_malloc.dylib",0x7fff75880250,0x7fff7589931f,634572800
shared-library,"/usr/lib/system/libsystem_network.dylib",0x7fff758a0b70,0x7fff759a2038,634572800
shared-library,"/usr/lib/system/libsystem_networkextension.dylib",0x7fff759d0cff,0x7fff759d882e,634572800
shared-library,"/usr/lib/system/libsystem_notify.dylib",0x7fff759dc148,0x7fff759e483e,634572800
shared-library,"/usr/lib/system/libsystem_sandbox.dylib",0x7fff759fa040,0x7fff759fc52d,634572800
shared-library,"/usr/lib/system/libsystem_secinit.dylib",0x7fff759fda1f,0x7fff759fe588,634572800
shared-library,"/usr/lib/system/libsystem_kernel.dylib",0x7fff7580cf10,0x7fff7582a75d,634572800
shared-library,"/usr/lib/system/libsystem_platform.dylib",0x7fff759e5820,0x7fff759eb38d,634572800
shared-library,"/usr/lib/system/libsystem_pthread.dylib",0x7fff759edf78,0x7fff759f610e,634572800
shared-library,"/usr/lib/system/libsystem_symptoms.dylib",0x7fff759ff938,0x7fff75a0531e,634572800
shared-library,"/usr/lib/system/libsystem_trace.dylib",0x7fff75a08094,0x7fff75a17c8d,634572800
shared-library,"/usr/lib/system/libunwind.dylib",0x7fff75a1c96c,0x7fff75a212a7,634572800
shared-library,"/usr/lib/system/libxpc.dylib",0x7fff75a239c0,0x7fff75a4483e,634572800
shared-library,"/usr/lib/closure/libclosured.dylib",0x7fff72eb8e80,0x7fff72ee3689,634572800
shared-library,"/usr/lib/libobjc.A.dylib",0x7fff74aab000,0x7fff74acc65a,634572800
shared-library,"/usr/lib/libc++abi.dylib",0x7fff7367f600,0x7fff7369dd64,634572800
shared-library,"/usr/lib/libDiagnosticMessagesClient.dylib",0x7fff7307cf08,0x7fff7307d90c,634572800
shared-library,"/usr/lib/libicucore.A.dylib",0x7fff74152fd4,0x7fff7430a2e6,634572800
shared-library,"/usr/lib/libz.1.dylib",0x7fff754c12d0,0x7fff754ccbe5,634572800
profiler,"begin",1000
tick,0x7fff7581f246,613,0,0x0,4
tick,0x7fff759ea04f,1901,0,0x0,4
tick,0x7fff759ea053,3149,0,0x0,4
code-creation,Stub,3,3373,0xf669f104000,342,"JSEntryStub"
code-creation,Stub,3,3387,0xf669f104160,342,"JSEntryStub"
code-creation,Builtin,5,3397,0xf669f1042c0,134,"EmptyFunction"
code-creation,Stub,3,3405,0xf669f104360,382,"CEntryStub"
code-creation,Builtin,5,3413,0xf669f1044e0,139,"ConstructedNonConstructable"
code-creation,Stub,3,3421,0xf669f104580,382,"CEntryStub"
code-creation,Builtin,5,3427,0xf669f104700,923,"CompileLazy"
code-creation,Stub,3,3433,0xf669f104aa0,1358,"RecordWriteStub"
code-creation,Stub,3,3439,0xf669f105000,168,"StoreBufferOverflowStub"
code-creation,Stub,3,3445,0xf669f1050c0,1386,"RecordWriteStub"
code-creation,Builtin,5,3450,0xf669f105640,366,"JSConstructStubGenericUnrestrictedReturn"
code-creation,Builtin,5,3456,0xf669f1057c0,1085,"FastNewObject"
code-creation,Builtin,5,3462,0xf669f105c00,327,"ArgumentsAdaptorTrampoline"
code-creation,Stub,3,3468,0xf669f105d60,2266,"RecordWriteStub"
code-creation,Stub,3,3474,0xf669f106640,388,"StoreBufferOverflowStub"
code-creation,Stub,3,3480,0xf669f1067e0,2317,"RecordWriteStub"
code-creation,Stub,3,3486,0xf669f107100,123,"ArrayNArgumentsConstructorStub"
code-creation,Stub,3,3491,0xf669f107180,2295,"RecordWriteStub"
code-creation,Stub,3,3497,0xf669f107a80,2265,"RecordWriteStub"
code-creation,Stub,3,3503,0xf669f108360,2257,"RecordWriteStub"
code-creation,Stub,3,3509,0xf669f108c40,2269,"RecordWriteStub"
code-creation,Stub,3,3514,0xf669f109520,2284,"RecordWriteStub"
code-creation,Stub,3,3520,0xf669f109e20,2254,"RecordWriteStub"
code-creation,Stub,3,3526,0xf669f10a700,2250,"RecordWriteStub"
code-creation,Stub,3,3532,0xf669f10afe0,2254,"RecordWriteStub"
code-creation,Stub,3,3537,0xf669f10b8c0,2253,"RecordWriteStub"
code-creation,Handler,4,3543,0xf669f10c1a0,732,"An IC handler from the snapshot"
code-creation,Stub,3,3549,0xf669f10c480,2266,"RecordWriteStub"
code-creation,Stub,3,3555,0xf669f10cd60,2292,"RecordWriteStub"
code-creation,Stub,3,3561,0xf669f10d660,699,"TransitionElementsKindStub"
code-creation,Stub,3,3566,0xf669f10d920,980,"RecordWriteStub"
code-creation,Stub,3,3572,0xf669f10dd00,2254,"RecordWriteStub"
code-creation,Stub,3,3578,0xf669f10e5e0,404,"CEntryStub"
code-creation,Stub,3,3584,0xf669f10e780,980,"RecordWriteStub"
code-creation,Stub,3,3589,0xf669f10eb60,992,"RecordWriteStub"
code-creation,Stub,3,3595,0xf669f10ef40,2288,"RecordWriteStub"
code-creation,Stub,3,3601,0xf669f10f840,311,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,3607,0xf669f10f980,1373,"RecordWriteStub"
code-creation,Stub,3,3612,0xf669f10fee0,2253,"RecordWriteStub"
code-creation,Stub,3,3618,0xf669f1107c0,2253,"RecordWriteStub"
code-creation,Stub,3,3624,0xf669f1110a0,2265,"RecordWriteStub"
code-creation,Stub,3,3630,0xf669f111980,471,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,3635,0xf669f111b60,1019,"CallICStub"
code-creation,Builtin,5,3641,0xf669f111f60,384,"CallFunction_ReceiverIsAny"
code-creation,Builtin,5,3647,0xf669f1120e0,459,"ToObject"
code-creation,Stub,3,3653,0xf669f1122c0,2250,"RecordWriteStub"
code-creation,Stub,3,3659,0xf669f112ba0,433,"ArrayConstructorStub"
code-creation,Stub,3,3664,0xf669f112d60,347,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,3670,0xf669f112ec0,347,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,3676,0xf669f113020,311,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,3682,0xf669f113160,299,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,3688,0xf669f1132a0,299,"ArrayNoArgumentConstructorStub"
code-creation,Builtin,5,3694,0xf669f1133e0,121,"Abort"
code-creation,Stub,3,3699,0xf669f113460,511,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,3705,0xf669f113660,479,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,3727,0xf669f113840,471,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,3733,0xf669f113a20,439,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,3739,0xf669f113be0,423,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,3744,0xf669f113da0,299,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,3750,0xf669f113ee0,423,"ArraySingleArgumentConstructorStub"
code-creation,Builtin,5,3756,0xf669f1140a0,233,"Call_ReceiverIsAny"
code-creation,Builtin,5,3762,0xf669f1141a0,249,"CallBoundFunction"
code-creation,Builtin,5,3767,0xf669f1142a0,359,"CallFunction_ReceiverIsNotNullOrUndefined"
code-creation,Stub,3,3773,0xf669f114420,2296,"RecordWriteStub"
code-creation,Stub,3,3779,0xf669f114d20,2292,"RecordWriteStub"
code-creation,Stub,3,3784,0xf669f115620,2254,"RecordWriteStub"
code-creation,Stub,3,3790,0xf669f115f00,2292,"RecordWriteStub"
code-creation,Handler,4,3796,0xf669f116800,256,"An IC handler from the snapshot"
code-creation,Stub,3,3801,0xf669f116900,2291,"RecordWriteStub"
code-creation,Stub,3,3807,0xf669f117200,980,"RecordWriteStub"
code-creation,Stub,3,3813,0xf669f1175e0,2238,"RecordWriteStub"
code-creation,Stub,3,3819,0xf669f117ea0,2266,"RecordWriteStub"
code-creation,Stub,3,3824,0xf669f118780,189,"DoubleToIStub"
code-creation,Stub,3,3830,0xf669f118840,2270,"RecordWriteStub"
code-creation,Handler,4,3836,0xf669f119120,308,"An IC handler from the snapshot"
code-creation,Stub,3,3841,0xf669f119260,2280,"RecordWriteStub"
code-creation,Stub,3,3847,0xf669f119b60,2265,"RecordWriteStub"
code-creation,Stub,3,3853,0xf669f11a440,2229,"RecordWriteStub"
code-creation,Stub,3,3858,0xf669f11ad00,1412,"RecordWriteStub"
code-creation,Stub,3,3864,0xf669f11b2a0,2314,"RecordWriteStub"
code-creation,Stub,3,3870,0xf669f11bbc0,978,"RecordWriteStub"
code-creation,Stub,3,3875,0xf669f11bfa0,2272,"RecordWriteStub"
code-creation,Stub,3,3881,0xf669f11c880,2266,"RecordWriteStub"
code-creation,Stub,3,3887,0xf669f11d160,2296,"RecordWriteStub"
code-creation,Stub,3,3892,0xf669f11da60,978,"RecordWriteStub"
code-creation,Stub,3,3898,0xf669f11de40,2250,"RecordWriteStub"
