



Statistical profiling result from isolate-0x104801800-v8.log, (884 ticks, 71 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      5    0.6%          /usr/lib/system/libsystem_pthread.dylib
      3    0.3%          /usr/lib/system/libsystem_c.dylib
      2    0.2%          /usr/lib/system/libsystem_malloc.dylib
      1    0.1%          /usr/lib/system/libsystem_platform.dylib

 [JavaScript]:
   ticks  total  nonlib   name
      8    0.9%    0.9%  Builtin: InterpreterEntryTrampoline
      7    0.8%    0.8%  Function: ~fromString buffer.js:298:20
      6    0.7%    0.7%  Function: ~exports.log /Users/mdebarros/Documents/ModusDocs/Projects/MojaLoop/git/fork/central-services-shared/node_modules/winston/lib/winston/common.js:140:24
      5    0.6%    0.6%  KeyedLoadIC: A keyed load IC from the snapshot
      5    0.6%    0.6%  Builtin: CallFunction_ReceiverIsAny
      4    0.5%    0.5%  Function: ~Uint8Array native typedarray.js:158:31
      4    0.5%    0.5%  Function: ~Console.log /Users/mdebarros/Documents/ModusDocs/Projects/MojaLoop/git/fork/central-services-shared/node_modules/winston/lib/winston/transports/console.js:91:34
      3    0.3%    0.3%  Stub: StringAddStub
      3    0.3%    0.3%  Stub: GetPropertyStub
      3    0.3%    0.3%  Function: ~target.(anonymous function) /Users/mdebarros/Documents/ModusDocs/Projects/MojaLoop/git/fork/central-services-shared/node_modules/winston/lib/winston/common.js:51:30
      3    0.3%    0.3%  Function: ~messages.forEach.message /Users/mdebarros/Documents/ModusDocs/Projects/MojaLoop/git/kafkaPoc/consumers.js:32:26
      3    0.3%    0.3%  Function: ~derez /Users/mdebarros/Documents/ModusDocs/Projects/MojaLoop/git/fork/central-services-shared/node_modules/cycle/cycle.js:46:27
      3    0.3%    0.3%  Builtin: RegExpPrototypeMatch
      3    0.3%    0.3%  Builtin: FastNewClosure
      2    0.2%    0.2%  Stub: CallICStub
      2    0.2%    0.2%  Stub: CEntryStub {1}
      2    0.2%    0.2%  LazyCompile: *emit events.js:156:44
      2    0.2%    0.2%  Function: ~onwrite _stream_writable.js:422:17
      2    0.2%    0.2%  Function: ~match native string.js:12:6
      2    0.2%    0.2%  Function: ~info /Users/mdebarros/Documents/ModusDocs/Projects/MojaLoop/git/kafkaPoc/perf4js/index.js:5:14
      2    0.2%    0.2%  Function: ~get /Users/mdebarros/Documents/ModusDocs/Projects/MojaLoop/git/fork/central-services-shared/node_modules/colors/lib/colors.js:143:21
      2    0.2%    0.2%  Function: ~fs.readFileSync fs.js:548:27
      2    0.2%    0.2%  Function: ~exports.timestamp /Users/mdebarros/Documents/ModusDocs/Projects/MojaLoop/git/fork/central-services-shared/node_modules/winston/lib/winston/common.js:307:30
      2    0.2%    0.2%  Function: ~exports.clone /Users/mdebarros/Documents/ModusDocs/Projects/MojaLoop/git/fork/central-services-shared/node_modules/winston/lib/winston/common.js:79:26
      2    0.2%    0.2%  Function: ~async.each /Users/mdebarros/Documents/ModusDocs/Projects/MojaLoop/git/fork/central-services-shared/node_modules/winston/node_modules/async/lib/async.js:150:27
      2    0.2%    0.2%  Function: ~applyStyle /Users/mdebarros/Documents/ModusDocs/Projects/MojaLoop/git/fork/central-services-shared/node_modules/colors/lib/colors.js:89:20
      2    0.2%    0.2%  Function: ~Writable.write _stream_writable.js:264:36
      2    0.2%    0.2%  Function: ~Logger.log /Users/mdebarros/Documents/ModusDocs/Projects/MojaLoop/git/fork/central-services-shared/node_modules/winston/lib/winston/logger.js:109:33
      2    0.2%    0.2%  Function: ~<anonymous> /Users/mdebarros/Documents/ModusDocs/Projects/MojaLoop/git/fork/central-services-shared/node_modules/winston/lib/winston/logger.js:152:45
      2    0.2%    0.2%  Builtin: Call_ReceiverIsAny
      2    0.2%    0.2%  Builtin: ArrayFilter
      2    0.2%    0.2%  Builtin: ArgumentsAdaptorTrampoline
      1    0.1%    0.1%  Stub: RecordWriteStub
      1    0.1%    0.1%  Stub: CallApiCallbackStub
      1    0.1%    0.1%  StoreIC: A store IC from the snapshot {1}
      1    0.1%    0.1%  StoreIC: A store IC from the snapshot
      1    0.1%    0.1%  LoadIC: A load IC from the snapshot
      1    0.1%    0.1%  LazyCompile: *_tickCallback internal/process/next_tick.js:151:25
      1    0.1%    0.1%  LazyCompile: *Console.log /Users/mdebarros/Documents/ModusDocs/Projects/MojaLoop/git/fork/central-services-shared/node_modules/winston/lib/winston/transports/console.js:91:34
      1    0.1%    0.1%  KeyedLoadIC: A keyed load IC from the snapshot {1}
      1    0.1%    0.1%  Handler: __proto__ {NaN}
      1    0.1%    0.1%  Function: ~writeOrBuffer _stream_writable.js:339:23
      1    0.1%    0.1%  Function: ~runInThisContext vm.js:138:26
      1    0.1%    0.1%  Function: ~resolver dns.js:254:18
      1    0.1%    0.1%  Function: ~require internal/module.js:8:19
      1    0.1%    0.1%  Function: ~peek internal/linkedlist.js:9:14
      1    0.1%    0.1%  Function: ~parseValue /Users/mdebarros/Documents/ModusDocs/Projects/MojaLoop/git/fork/central-services-shared/src/kafka/protocol/util.js:51:20
      1    0.1%    0.1%  Function: ~parse /Users/mdebarros/Documents/ModusDocs/Projects/MojaLoop/git/kafkaPoc/node_modules/microseconds/parse.js:58:32
      1    0.1%    0.1%  Function: ~onwriteStateUpdate _stream_writable.js:415:28
      1    0.1%    0.1%  Function: ~on /Users/mdebarros/Documents/ModusDocs/Projects/MojaLoop/git/fork/central-services-shared/src/kafka/consumer.js:428:33
      1    0.1%    0.1%  Function: ~observersCallback perf_hooks.js:466:27
      1    0.1%    0.1%  Function: ~info /Users/mdebarros/Documents/ModusDocs/Projects/MojaLoop/git/fork/central-services-shared/src/perf4js/index.js:5:14
      1    0.1%    0.1%  Function: ~format util.js:182:16
