v8-version,6,1,534,50,0
shared-library,"/usr/local/opt/node@8/bin/node",0x100002800,0x100843776,0
shared-library,"/usr/local/opt/icu4c/lib/libicui18n.60.dylib",0x101a8ff20,0x101bb9d39,4322811904
shared-library,"/usr/local/opt/icu4c/lib/libicuuc.60.dylib",0x101ceeb20,0x101d9f210,4325298176
shared-library,"/usr/local/opt/icu4c/lib/libicudata.60.2.dylib",0x101e649f0,0x101e649f0,4326830080
shared-library,"/System/Library/Frameworks/CoreFoundation.framework/Versions/A/CoreFoundation",0x7fff4d84a860,0x7fff4da3d9ac,634572800
shared-library,"/usr/lib/libSystem.B.dylib",0x7fff733f394a,0x7fff733f3b2e,634572800
shared-library,"/usr/lib/libc++.1.dylib",0x7fff73627f40,0x7fff7366f2b0,634572800
shared-library,"/usr/lib/system/libcache.dylib",0x7fff7556eb08,0x7fff7557156d,634572800
shared-library,"/usr/lib/system/libcommonCrypto.dylib",0x7fff75573c14,0x7fff7557cde1,634572800
shared-library,"/usr/lib/system/libcompiler_rt.dylib",0x7fff7557eef4,0x7fff75583a8b,634572800
shared-library,"/usr/lib/system/libcopyfile.dylib",0x7fff7558709c,0x7fff7558e2dc,634572800
shared-library,"/usr/lib/system/libcorecrypto.dylib",0x7fff75590e80,0x7fff755f5ab9,634572800
shared-library,"/usr/lib/system/libdispatch.dylib",0x7fff7569ea08,0x7fff756c99fe,634572800
shared-library,"/usr/lib/system/libdyld.dylib",0x7fff756d8014,0x7fff756f0410,634572800
shared-library,"/usr/lib/system/libkeymgr.dylib",0x7fff756f5a51,0x7fff756f5e80,634572800
shared-library,"/usr/lib/system/liblaunch.dylib",0x7fff75703fc0,0x7fff75703fc0,634572800
shared-library,"/usr/lib/system/libmacho.dylib",0x7fff757046e8,0x7fff757089dc,634572800
shared-library,"/usr/lib/system/libquarantine.dylib",0x7fff7570a26e,0x7fff7570bb42,634572800
shared-library,"/usr/lib/system/libremovefile.dylib",0x7fff7570c944,0x7fff7570dc73,634572800
shared-library,"/usr/lib/system/libsystem_asl.dylib",0x7fff7570f748,0x7fff75724150,634572800
shared-library,"/usr/lib/system/libsystem_blocks.dylib",0x7fff7572685d,0x7fff75726d0e,634572800
shared-library,"/usr/lib/system/libsystem_c.dylib",0x7fff75728100,0x7fff757a918f,634572800
shared-library,"/usr/lib/system/libsystem_configuration.dylib",0x7fff757b1e04,0x7fff757b46c0,634572800
shared-library,"/usr/lib/system/libsystem_coreservices.dylib",0x7fff757b62d0,0x7fff757b83eb,634572800
shared-library,"/usr/lib/system/libsystem_darwin.dylib",0x7fff757b9fda,0x7fff757bac44,634572800
shared-library,"/usr/lib/system/libsystem_dnssd.dylib",0x7fff757bbf3c,0x7fff757c04cd,634572800
shared-library,"/usr/lib/system/libsystem_info.dylib",0x7fff757c31f0,0x7fff7580841e,634572800
shared-library,"/usr/lib/system/libsystem_m.dylib",0x7fff75834140,0x7fff75864143,634572800
shared-library,"/usr/lib/system/libsystem_malloc.dylib",0x7fff75880250,0x7fff7589931f,634572800
shared-library,"/usr/lib/system/libsystem_network.dylib",0x7fff758a0b70,0x7fff759a2038,634572800
shared-library,"/usr/lib/system/libsystem_networkextension.dylib",0x7fff759d0cff,0x7fff759d882e,634572800
shared-library,"/usr/lib/system/libsystem_notify.dylib",0x7fff759dc148,0x7fff759e483e,634572800
shared-library,"/usr/lib/system/libsystem_sandbox.dylib",0x7fff759fa040,0x7fff759fc52d,634572800
shared-library,"/usr/lib/system/libsystem_secinit.dylib",0x7fff759fda1f,0x7fff759fe588,634572800
shared-library,"/usr/lib/system/libsystem_kernel.dylib",0x7fff7580cf10,0x7fff7582a75d,634572800
shared-library,"/usr/lib/system/libsystem_platform.dylib",0x7fff759e5820,0x7fff759eb38d,634572800
shared-library,"/usr/lib/system/libsystem_pthread.dylib",0x7fff759edf78,0x7fff759f610e,634572800
shared-library,"/usr/lib/system/libsystem_symptoms.dylib",0x7fff759ff938,0x7fff75a0531e,634572800
shared-library,"/usr/lib/system/libsystem_trace.dylib",0x7fff75a08094,0x7fff75a17c8d,634572800
shared-library,"/usr/lib/system/libunwind.dylib",0x7fff75a1c96c,0x7fff75a212a7,634572800
shared-library,"/usr/lib/system/libxpc.dylib",0x7fff75a239c0,0x7fff75a4483e,634572800
shared-library,"/usr/lib/closure/libclosured.dylib",0x7fff72eb8e80,0x7fff72ee3689,634572800
shared-library,"/usr/lib/libobjc.A.dylib",0x7fff74aab000,0x7fff74acc65a,634572800
shared-library,"/usr/lib/libc++abi.dylib",0x7fff7367f600,0x7fff7369dd64,634572800
shared-library,"/usr/lib/libDiagnosticMessagesClient.dylib",0x7fff7307cf08,0x7fff7307d90c,634572800
shared-library,"/usr/lib/libicucore.A.dylib",0x7fff74152fd4,0x7fff7430a2e6,634572800
shared-library,"/usr/lib/libz.1.dylib",0x7fff754c12d0,0x7fff754ccbe5,634572800
tick,0x7fff7581f246,725,0,0x0,4
profiler,"begin",1000
tick,0x7fff759ea04f,2032,0,0x0,4
tick,0x7fff759ea060,3339,0,0x0,4
tick,0x7fff759e9fc9,4587,0,0x0,4
tick,0x7fff759ea060,5501,0,0x0,4
code-creation,Stub,3,5906,0x4baf4c84000,342,"JSEntryStub"
code-creation,Stub,3,5926,0x4baf4c84160,342,"JSEntryStub"
code-creation,Builtin,5,5939,0x4baf4c842c0,134,"EmptyFunction"
code-creation,Stub,3,5949,0x4baf4c84360,382,"CEntryStub"
code-creation,Builtin,5,5960,0x4baf4c844e0,139,"ConstructedNonConstructable"
code-creation,Stub,3,5969,0x4baf4c84580,382,"CEntryStub"
code-creation,Builtin,5,5977,0x4baf4c84700,923,"CompileLazy"
code-creation,Stub,3,5984,0x4baf4c84aa0,1358,"RecordWriteStub"
code-creation,Stub,3,5991,0x4baf4c85000,168,"StoreBufferOverflowStub"
code-creation,Stub,3,5998,0x4baf4c850c0,1386,"RecordWriteStub"
code-creation,Builtin,5,6006,0x4baf4c85640,366,"JSConstructStubGenericUnrestrictedReturn"
code-creation,Builtin,5,6013,0x4baf4c857c0,1085,"FastNewObject"
code-creation,Builtin,5,6020,0x4baf4c85c00,327,"ArgumentsAdaptorTrampoline"
code-creation,Stub,3,6027,0x4baf4c85d60,2266,"RecordWriteStub"
code-creation,Stub,3,6034,0x4baf4c86640,388,"StoreBufferOverflowStub"
code-creation,Stub,3,6041,0x4baf4c867e0,2317,"RecordWriteStub"
code-creation,Stub,3,6048,0x4baf4c87100,123,"ArrayNArgumentsConstructorStub"
code-creation,Stub,3,6055,0x4baf4c87180,2295,"RecordWriteStub"
code-creation,Stub,3,6062,0x4baf4c87a80,2265,"RecordWriteStub"
code-creation,Stub,3,6069,0x4baf4c88360,2257,"RecordWriteStub"
code-creation,Stub,3,6076,0x4baf4c88c40,2269,"RecordWriteStub"
code-creation,Stub,3,6084,0x4baf4c89520,2284,"RecordWriteStub"
code-creation,Stub,3,6091,0x4baf4c89e20,2254,"RecordWriteStub"
code-creation,Stub,3,6098,0x4baf4c8a700,2250,"RecordWriteStub"
code-creation,Stub,3,6105,0x4baf4c8afe0,2254,"RecordWriteStub"
code-creation,Stub,3,6112,0x4baf4c8b8c0,2253,"RecordWriteStub"
code-creation,Handler,4,6119,0x4baf4c8c1a0,732,"An IC handler from the snapshot"
code-creation,Stub,3,6126,0x4baf4c8c480,2266,"RecordWriteStub"
code-creation,Stub,3,6133,0x4baf4c8cd60,2292,"RecordWriteStub"
code-creation,Stub,3,6140,0x4baf4c8d660,699,"TransitionElementsKindStub"
code-creation,Stub,3,6148,0x4baf4c8d920,980,"RecordWriteStub"
code-creation,Stub,3,6155,0x4baf4c8dd00,2254,"RecordWriteStub"
code-creation,Stub,3,6162,0x4baf4c8e5e0,404,"CEntryStub"
code-creation,Stub,3,6225,0x4baf4c8e780,980,"RecordWriteStub"
code-creation,Stub,3,6261,0x4baf4c8eb60,992,"RecordWriteStub"
code-creation,Stub,3,6277,0x4baf4c8ef40,2288,"RecordWriteStub"
code-creation,Stub,3,6289,0x4baf4c8f840,311,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,6302,0x4baf4c8f980,1373,"RecordWriteStub"
code-creation,Stub,3,6314,0x4baf4c8fee0,2253,"RecordWriteStub"
code-creation,Stub,3,6342,0x4baf4c907c0,2253,"RecordWriteStub"
code-creation,Stub,3,6361,0x4baf4c910a0,2265,"RecordWriteStub"
code-creation,Stub,3,6375,0x4baf4c91980,471,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,6396,0x4baf4c91b60,1019,"CallICStub"
code-creation,Builtin,5,6411,0x4baf4c91f60,384,"CallFunction_ReceiverIsAny"
code-creation,Builtin,5,6422,0x4baf4c920e0,459,"ToObject"
code-creation,Stub,3,6432,0x4baf4c922c0,2250,"RecordWriteStub"
code-creation,Stub,3,6440,0x4baf4c92ba0,433,"ArrayConstructorStub"
code-creation,Stub,3,6448,0x4baf4c92d60,347,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,6455,0x4baf4c92ec0,347,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,6462,0x4baf4c93020,311,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,6469,0x4baf4c93160,299,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,6477,0x4baf4c932a0,299,"ArrayNoArgumentConstructorStub"
code-creation,Builtin,5,6484,0x4baf4c933e0,121,"Abort"
code-creation,Stub,3,6491,0x4baf4c93460,511,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,6520,0x4baf4c93660,479,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,6528,0x4baf4c93840,471,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,6535,0x4baf4c93a20,439,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,6543,0x4baf4c93be0,423,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,6550,0x4baf4c93da0,299,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,6557,0x4baf4c93ee0,423,"ArraySingleArgumentConstructorStub"
code-creation,Builtin,5,6564,0x4baf4c940a0,233,"Call_ReceiverIsAny"
code-creation,Builtin,5,6571,0x4baf4c941a0,249,"CallBoundFunction"
code-creation,Builtin,5,6578,0x4baf4c942a0,359,"CallFunction_ReceiverIsNotNullOrUndefined"
