Statistical profiling result from isolate-0x105001800-v8.log, (1179 ticks, 104 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
     17    1.4%          /usr/lib/system/libsystem_pthread.dylib
      3    0.3%          /usr/lib/system/libsystem_c.dylib
      1    0.1%          /usr/lib/system/libsystem_platform.dylib
      1    0.1%          /usr/lib/libc++abi.dylib

 [JavaScript]:
   ticks  total  nonlib   name
     17    1.4%    1.5%  Builtin: InterpreterEntryTrampoline
     12    1.0%    1.0%  Builtin: CallFunction_ReceiverIsAny
      9    0.8%    0.8%  KeyedLoadIC: A keyed load IC from the snapshot
      9    0.8%    0.8%  Function: ~exports.log /Users/mdebarros/Documents/ModusDocs/Projects/MojaLoop/git/fork/central-services-shared/node_modules/winston/lib/winston/common.js:140:24
      5    0.4%    0.4%  KeyedStoreIC: A keyed store IC from the snapshot
      5    0.4%    0.4%  Function: ~target.(anonymous function) /Users/mdebarros/Documents/ModusDocs/Projects/MojaLoop/git/fork/central-services-shared/node_modules/winston/lib/winston/common.js:51:30
      5    0.4%    0.4%  Function: ~fromString buffer.js:298:20
      4    0.3%    0.3%  Stub: GetPropertyStub
      4    0.3%    0.3%  Function: ~Logger.log /Users/mdebarros/Documents/ModusDocs/Projects/MojaLoop/git/fork/central-services-shared/node_modules/winston/lib/winston/logger.js:109:33
      4    0.3%    0.3%  Function: ~Console.log /Users/mdebarros/Documents/ModusDocs/Projects/MojaLoop/git/fork/central-services-shared/node_modules/winston/lib/winston/transports/console.js:91:34
      3    0.3%    0.3%  Stub: StringAddStub
      3    0.3%    0.3%  StoreIC: A store IC from the snapshot
      3    0.3%    0.3%  Function: ~info /Users/mdebarros/Documents/ModusDocs/Projects/MojaLoop/git/kafkaPoc/perf4js/index.js:5:14
      3    0.3%    0.3%  Function: ~derez /Users/mdebarros/Documents/ModusDocs/Projects/MojaLoop/git/fork/central-services-shared/node_modules/cycle/cycle.js:46:27
      3    0.3%    0.3%  Function: ~Uint8Array native typedarray.js:158:31
      3    0.3%    0.3%  Function: ~<anonymous> /Users/mdebarros/Documents/ModusDocs/Projects/MojaLoop/git/fork/central-services-shared/node_modules/winston/node_modules/async/lib/async.js:37:24
      3    0.3%    0.3%  Builtin: RegExpPrototypeMatch
      3    0.3%    0.3%  Builtin: KeyedLoadIC_Megamorphic
      3    0.3%    0.3%  Builtin: FastNewClosure
      3    0.3%    0.3%  Builtin: CallFunction_ReceiverIsNullOrUndefined
      2    0.2%    0.2%  Stub: CallICStub
      2    0.2%    0.2%  LazyCompile: *target.(anonymous function) /Users/mdebarros/Documents/ModusDocs/Projects/MojaLoop/git/fork/central-services-shared/node_modules/winston/lib/winston/common.js:51:30
      2    0.2%    0.2%  LazyCompile: *Logger.log /Users/mdebarros/Documents/ModusDocs/Projects/MojaLoop/git/fork/central-services-shared/node_modules/winston/lib/winston/logger.js:109:33
      2    0.2%    0.2%  Function: ~tryConvertToPromise /Users/mdebarros/Documents/ModusDocs/Projects/MojaLoop/git/fork/central-services-shared/node_modules/bluebird/js/release/thenables.js:7:29
      2    0.2%    0.2%  Function: ~transportLog /Users/mdebarros/Documents/ModusDocs/Projects/MojaLoop/git/fork/central-services-shared/node_modules/winston/lib/winston/logger.js:232:24
      2    0.2%    0.2%  Function: ~onwriteDrain _stream_writable.js:461:22
      2    0.2%    0.2%  Function: ~messages.forEach.message /Users/mdebarros/Documents/ModusDocs/Projects/MojaLoop/git/kafkaPoc/consumers.js:32:26
      2    0.2%    0.2%  Function: ~exports.timestamp /Users/mdebarros/Documents/ModusDocs/Projects/MojaLoop/git/fork/central-services-shared/node_modules/winston/lib/winston/common.js:307:30
      2    0.2%    0.2%  Function: ~doThenable /Users/mdebarros/Documents/ModusDocs/Projects/MojaLoop/git/fork/central-services-shared/node_modules/bluebird/js/release/thenables.js:56:20
      2    0.2%    0.2%  Function: ~applyStyle /Users/mdebarros/Documents/ModusDocs/Projects/MojaLoop/git/fork/central-services-shared/node_modules/colors/lib/colors.js:89:20
      2    0.2%    0.2%  Function: ~append internal/linkedlist.js:29:16
      2    0.2%    0.2%  Function: ~_tickCallback internal/process/next_tick.js:151:25
      2    0.2%    0.2%  Function: ~_syncQueue.async.queue /Users/mdebarros/Documents/ModusDocs/Projects/MojaLoop/git/fork/central-services-shared/src/kafka/consumer.js:387:37
      2    0.2%    0.2%  Function: ~_consumeRecursive /Users/mdebarros/Documents/ModusDocs/Projects/MojaLoop/git/fork/central-services-shared/src/kafka/consumer.js:536:21
      2    0.2%    0.2%  Function: ~Writable.write _stream_writable.js:264:36
      2    0.2%    0.2%  Function: ~FastBuffer buffer.js:37:14
      2    0.2%    0.2%  Builtin: ToString
      2    0.2%    0.2%  Builtin: ObjectProtoToString
      2    0.2%    0.2%  Builtin: FastArrayPush
      2    0.2%    0.2%  Builtin: Call_ReceiverIsAny
      2    0.2%    0.2%  Builtin: ArrayFilter
      2    0.2%    0.2%  Builtin: ArgumentsAdaptorTrampoline
      1    0.1%    0.1%  Stub: CallApiCallbackStub {2}
      1    0.1%    0.1%  Stub: CallApiCallbackStub {1}
      1    0.1%    0.1%  Stub: CEntryStub {1}
      1    0.1%    0.1%  Stub: CEntryStub
      1    0.1%    0.1%  LazyCompile: *nextTick internal/process/next_tick.js:245:20
      1    0.1%    0.1%  LazyCompile: *_tickCallback internal/process/next_tick.js:151:25
      1    0.1%    0.1%  Handler: An IC handler from the snapshot
      1    0.1%    0.1%  Function: ~tryOnImmediate timers.js:746:24
      1    0.1%    0.1%  Function: ~runInThisContext bootstrap_node.js:495:28
      1    0.1%    0.1%  Function: ~runCallback timers.js:781:21
      1    0.1%    0.1%  Function: ~realpathSync fs.js:1571:40
      1    0.1%    0.1%  Function: ~push internal/process/next_tick.js:20:7
      1    0.1%    0.1%  Function: ~processImmediate timers.js:697:26
      1    0.1%    0.1%  Function: ~parseValue /Users/mdebarros/Documents/ModusDocs/Projects/MojaLoop/git/fork/central-services-shared/src/kafka/protocol/util.js:51:20
      1    0.1%    0.1%  Function: ~normalize path.js:1211:32
      1    0.1%    0.1%  Function: ~nextTick internal/process/next_tick.js:245:20
      1    0.1%    0.1%  Function: ~nextPart fs.js:1567:31
      1    0.1%    0.1%  Function: ~needFinish _stream_writable.js:567:20
