v8-version,6,1,534,50,0
shared-library,"/usr/local/opt/node@8/bin/node",0x100002800,0x100843776,0
shared-library,"/usr/local/opt/icu4c/lib/libicui18n.60.dylib",0x101a8ff20,0x101bb9d39,4322811904
shared-library,"/usr/local/opt/icu4c/lib/libicuuc.60.dylib",0x101ceeb20,0x101d9f210,4325298176
shared-library,"/usr/local/opt/icu4c/lib/libicudata.60.2.dylib",0x101e649f0,0x101e649f0,4326830080
shared-library,"/System/Library/Frameworks/CoreFoundation.framework/Versions/A/CoreFoundation",0x7fff4d84a860,0x7fff4da3d9ac,634572800
shared-library,"/usr/lib/libSystem.B.dylib",0x7fff733f394a,0x7fff733f3b2e,634572800
shared-library,"/usr/lib/libc++.1.dylib",0x7fff73627f40,0x7fff7366f2b0,634572800
shared-library,"/usr/lib/system/libcache.dylib",0x7fff7556eb08,0x7fff7557156d,634572800
shared-library,"/usr/lib/system/libcommonCrypto.dylib",0x7fff75573c14,0x7fff7557cde1,634572800
shared-library,"/usr/lib/system/libcompiler_rt.dylib",0x7fff7557eef4,0x7fff75583a8b,634572800
shared-library,"/usr/lib/system/libcopyfile.dylib",0x7fff7558709c,0x7fff7558e2dc,634572800
shared-library,"/usr/lib/system/libcorecrypto.dylib",0x7fff75590e80,0x7fff755f5ab9,634572800
shared-library,"/usr/lib/system/libdispatch.dylib",0x7fff7569ea08,0x7fff756c99fe,634572800
shared-library,"/usr/lib/system/libdyld.dylib",0x7fff756d8014,0x7fff756f0410,634572800
shared-library,"/usr/lib/system/libkeymgr.dylib",0x7fff756f5a51,0x7fff756f5e80,634572800
shared-library,"/usr/lib/system/liblaunch.dylib",0x7fff75703fc0,0x7fff75703fc0,634572800
shared-library,"/usr/lib/system/libmacho.dylib",0x7fff757046e8,0x7fff757089dc,634572800
shared-library,"/usr/lib/system/libquarantine.dylib",0x7fff7570a26e,0x7fff7570bb42,634572800
shared-library,"/usr/lib/system/libremovefile.dylib",0x7fff7570c944,0x7fff7570dc73,634572800
shared-library,"/usr/lib/system/libsystem_asl.dylib",0x7fff7570f748,0x7fff75724150,634572800
shared-library,"/usr/lib/system/libsystem_blocks.dylib",0x7fff7572685d,0x7fff75726d0e,634572800
shared-library,"/usr/lib/system/libsystem_c.dylib",0x7fff75728100,0x7fff757a918f,634572800
shared-library,"/usr/lib/system/libsystem_configuration.dylib",0x7fff757b1e04,0x7fff757b46c0,634572800
shared-library,"/usr/lib/system/libsystem_coreservices.dylib",0x7fff757b62d0,0x7fff757b83eb,634572800
shared-library,"/usr/lib/system/libsystem_darwin.dylib",0x7fff757b9fda,0x7fff757bac44,634572800
shared-library,"/usr/lib/system/libsystem_dnssd.dylib",0x7fff757bbf3c,0x7fff757c04cd,634572800
shared-library,"/usr/lib/system/libsystem_info.dylib",0x7fff757c31f0,0x7fff7580841e,634572800
shared-library,"/usr/lib/system/libsystem_m.dylib",0x7fff75834140,0x7fff75864143,634572800
shared-library,"/usr/lib/system/libsystem_malloc.dylib",0x7fff75880250,0x7fff7589931f,634572800
shared-library,"/usr/lib/system/libsystem_network.dylib",0x7fff758a0b70,0x7fff759a2038,634572800
shared-library,"/usr/lib/system/libsystem_networkextension.dylib",0x7fff759d0cff,0x7fff759d882e,634572800
shared-library,"/usr/lib/system/libsystem_notify.dylib",0x7fff759dc148,0x7fff759e483e,634572800
shared-library,"/usr/lib/system/libsystem_sandbox.dylib",0x7fff759fa040,0x7fff759fc52d,634572800
shared-library,"/usr/lib/system/libsystem_secinit.dylib",0x7fff759fda1f,0x7fff759fe588,634572800
shared-library,"/usr/lib/system/libsystem_kernel.dylib",0x7fff7580cf10,0x7fff7582a75d,634572800
shared-library,"/usr/lib/system/libsystem_platform.dylib",0x7fff759e5820,0x7fff759eb38d,634572800
shared-library,"/usr/lib/system/libsystem_pthread.dylib",0x7fff759edf78,0x7fff759f610e,634572800
shared-library,"/usr/lib/system/libsystem_symptoms.dylib",0x7fff759ff938,0x7fff75a0531e,634572800
shared-library,"/usr/lib/system/libsystem_trace.dylib",0x7fff75a08094,0x7fff75a17c8d,634572800
shared-library,"/usr/lib/system/libunwind.dylib",0x7fff75a1c96c,0x7fff75a212a7,634572800
shared-library,"/usr/lib/system/libxpc.dylib",0x7fff75a239c0,0x7fff75a4483e,634572800
shared-library,"/usr/lib/closure/libclosured.dylib",0x7fff72eb8e80,0x7fff72ee3689,634572800
shared-library,"/usr/lib/libobjc.A.dylib",0x7fff74aab000,0x7fff74acc65a,634572800
shared-library,"/usr/lib/libc++abi.dylib",0x7fff7367f600,0x7fff7369dd64,634572800
shared-library,"/usr/lib/libDiagnosticMessagesClient.dylib",0x7fff7307cf08,0x7fff7307d90c,634572800
shared-library,"/usr/lib/libicucore.A.dylib",0x7fff74152fd4,0x7fff7430a2e6,634572800
shared-library,"/usr/lib/libz.1.dylib",0x7fff754c12d0,0x7fff754ccbe5,634572800
profiler,"begin",1000
tick,0x7fff7581f246,606,0,0x0,4
tick,0x7fff759ea0cc,1850,0,0x0,4
tick,0x7fff759ea02c,3134,0,0x0,4
code-creation,Stub,3,3422,0x250637404000,342,"JSEntryStub"
code-creation,Stub,3,3438,0x250637404160,342,"JSEntryStub"
code-creation,Builtin,5,3448,0x2506374042c0,134,"EmptyFunction"
code-creation,Stub,3,3456,0x250637404360,382,"CEntryStub"
code-creation,Builtin,5,3464,0x2506374044e0,139,"ConstructedNonConstructable"
code-creation,Stub,3,3472,0x250637404580,382,"CEntryStub"
code-creation,Builtin,5,3478,0x250637404700,923,"CompileLazy"
code-creation,Stub,3,3484,0x250637404aa0,1358,"RecordWriteStub"
code-creation,Stub,3,3490,0x250637405000,168,"StoreBufferOverflowStub"
code-creation,Stub,3,3496,0x2506374050c0,1386,"RecordWriteStub"
code-creation,Builtin,5,3502,0x250637405640,366,"JSConstructStubGenericUnrestrictedReturn"
code-creation,Builtin,5,3508,0x2506374057c0,1085,"FastNewObject"
code-creation,Builtin,5,3513,0x250637405c00,327,"ArgumentsAdaptorTrampoline"
code-creation,Stub,3,3519,0x250637405d60,2266,"RecordWriteStub"
code-creation,Stub,3,3525,0x250637406640,388,"StoreBufferOverflowStub"
code-creation,Stub,3,3531,0x2506374067e0,2317,"RecordWriteStub"
code-creation,Stub,3,3536,0x250637407100,123,"ArrayNArgumentsConstructorStub"
code-creation,Stub,3,3542,0x250637407180,2295,"RecordWriteStub"
code-creation,Stub,3,3548,0x250637407a80,2265,"RecordWriteStub"
code-creation,Stub,3,3554,0x250637408360,2257,"RecordWriteStub"
code-creation,Stub,3,3560,0x250637408c40,2269,"RecordWriteStub"
code-creation,Stub,3,3565,0x250637409520,2284,"RecordWriteStub"
code-creation,Stub,3,3571,0x250637409e20,2254,"RecordWriteStub"
code-creation,Stub,3,3577,0x25063740a700,2250,"RecordWriteStub"
code-creation,Stub,3,3583,0x25063740afe0,2254,"RecordWriteStub"
code-creation,Stub,3,3589,0x25063740b8c0,2253,"RecordWriteStub"
code-creation,Handler,4,3595,0x25063740c1a0,732,"An IC handler from the snapshot"
code-creation,Stub,3,3600,0x25063740c480,2266,"RecordWriteStub"
code-creation,Stub,3,3606,0x25063740cd60,2292,"RecordWriteStub"
code-creation,Stub,3,3612,0x25063740d660,699,"TransitionElementsKindStub"
code-creation,Stub,3,3618,0x25063740d920,980,"RecordWriteStub"
code-creation,Stub,3,3624,0x25063740dd00,2254,"RecordWriteStub"
code-creation,Stub,3,3629,0x25063740e5e0,404,"CEntryStub"
code-creation,Stub,3,3635,0x25063740e780,980,"RecordWriteStub"
code-creation,Stub,3,3641,0x25063740eb60,992,"RecordWriteStub"
code-creation,Stub,3,3646,0x25063740ef40,2288,"RecordWriteStub"
code-creation,Stub,3,3652,0x25063740f840,311,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,3658,0x25063740f980,1373,"RecordWriteStub"
code-creation,Stub,3,3663,0x25063740fee0,2253,"RecordWriteStub"
code-creation,Stub,3,3669,0x2506374107c0,2253,"RecordWriteStub"
code-creation,Stub,3,3675,0x2506374110a0,2265,"RecordWriteStub"
code-creation,Stub,3,3680,0x250637411980,471,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,3686,0x250637411b60,1019,"CallICStub"
code-creation,Builtin,5,3692,0x250637411f60,384,"CallFunction_ReceiverIsAny"
code-creation,Builtin,5,3697,0x2506374120e0,459,"ToObject"
code-creation,Stub,3,3703,0x2506374122c0,2250,"RecordWriteStub"
code-creation,Stub,3,3708,0x250637412ba0,433,"ArrayConstructorStub"
code-creation,Stub,3,3714,0x250637412d60,347,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,3720,0x250637412ec0,347,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,3725,0x250637413020,311,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,3731,0x250637413160,299,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,3737,0x2506374132a0,299,"ArrayNoArgumentConstructorStub"
code-creation,Builtin,5,3742,0x2506374133e0,121,"Abort"
code-creation,Stub,3,3748,0x250637413460,511,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,3754,0x250637413660,479,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,3774,0x250637413840,471,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,3781,0x250637413a20,439,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,3786,0x250637413be0,423,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,3792,0x250637413da0,299,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,3798,0x250637413ee0,423,"ArraySingleArgumentConstructorStub"
code-creation,Builtin,5,3803,0x2506374140a0,233,"Call_ReceiverIsAny"
code-creation,Builtin,5,3809,0x2506374141a0,249,"CallBoundFunction"
code-creation,Builtin,5,3814,0x2506374142a0,359,"CallFunction_ReceiverIsNotNullOrUndefined"
code-creation,Stub,3,3820,0x250637414420,2296,"RecordWriteStub"
code-creation,Stub,3,3825,0x250637414d20,2292,"RecordWriteStub"
code-creation,Stub,3,3831,0x250637415620,2254,"RecordWriteStub"
