Statistical profiling result from isolate-0x105801400-v8.log, (1072 ticks, 104 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
     11    1.0%          /usr/lib/system/libsystem_pthread.dylib
      3    0.3%          /usr/lib/system/libsystem_malloc.dylib
      2    0.2%          /usr/lib/system/libsystem_c.dylib
      1    0.1%          /usr/lib/system/libsystem_platform.dylib
      1    0.1%          /usr/lib/system/libdyld.dylib

 [JavaScript]:
   ticks  total  nonlib   name
     15    1.4%    1.4%  Function: ~runProducer /Users/mdebarros/Documents/ModusDocs/Projects/MojaLoop/git/kafkaPoc/producers.js:10:19
     13    1.2%    1.2%  Function: ~exports.log /Users/mdebarros/Documents/ModusDocs/Projects/MojaLoop/git/fork/central-services-shared/node_modules/winston/lib/winston/common.js:140:24
      9    0.8%    0.9%  Builtin: CallFunction_ReceiverIsAny
      8    0.7%    0.8%  Builtin: InterpreterEntryTrampoline
      7    0.7%    0.7%  Function: ~derez /Users/mdebarros/Documents/ModusDocs/Projects/MojaLoop/git/fork/central-services-shared/node_modules/cycle/cycle.js:46:27
      5    0.5%    0.5%  Function: ~byteLength buffer.js:475:20
      5    0.5%    0.5%  Function: ~Console.log /Users/mdebarros/Documents/ModusDocs/Projects/MojaLoop/git/fork/central-services-shared/node_modules/winston/lib/winston/transports/console.js:91:34
      4    0.4%    0.4%  Function: ~fromString buffer.js:298:20
      4    0.4%    0.4%  Function: ~Uint8Array native typedarray.js:158:31
      3    0.3%    0.3%  Stub: CEntryStub {1}
      3    0.3%    0.3%  StoreIC: A store IC from the snapshot
      3    0.3%    0.3%  Function: ~Logger.log /Users/mdebarros/Documents/ModusDocs/Projects/MojaLoop/git/fork/central-services-shared/node_modules/winston/lib/winston/logger.js:109:33
      3    0.3%    0.3%  Function: ~Buffer.write buffer.js:855:34
      3    0.3%    0.3%  Builtin: ArgumentsAdaptorTrampoline
      2    0.2%    0.2%  Stub: StringAddStub
      2    0.2%    0.2%  Stub: RecordWriteStub {3}
      2    0.2%    0.2%  Stub: CallICStub
      2    0.2%    0.2%  KeyedLoadIC: A keyed load IC from the snapshot
      2    0.2%    0.2%  Function: ~writeOrBuffer _stream_writable.js:339:23
      2    0.2%    0.2%  Function: ~target.(anonymous function) /Users/mdebarros/Documents/ModusDocs/Projects/MojaLoop/git/fork/central-services-shared/node_modules/winston/lib/winston/common.js:51:30
      2    0.2%    0.2%  Function: ~nextTick internal/process/next_tick.js:245:20
      2    0.2%    0.2%  Function: ~match native string.js:12:6
